"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","worker_id","completion_code","lonely_after_1","lonely_after_2","lonely_after_3","comp_1","comp_2","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","condition"
"11","2024-05-23 12:58:54","2024-05-23 13:01:12","0",11,"100","137","1","2024-05-23 13:01:12","R_53B8tSNaVyu479J","","","","",11,11,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"12","2024-05-23 12:55:52","2024-05-23 13:01:44","0",12,"100","351","1","2024-05-23 13:01:45","R_7nO6lza4ZpPI1ep","","","","",12,12,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"13","2024-05-23 13:00:28","2024-05-23 13:01:52","0",13,"100","84","1","2024-05-23 13:01:53","R_1BW62m9USUzPQUy","","","","",13,13,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"14","2024-05-23 13:08:17","2024-05-23 13:09:27","0",14,"100","70","1","2024-05-23 13:09:28","R_3jkddyX8xj31tbG","","","","",14,14,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"15","2024-05-23 13:11:18","2024-05-23 13:11:43","0",15,"100","25","1","2024-05-23 13:11:44","R_1eaHkbSPWd8IOP9","","","","",15,15,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"16","2024-05-23 12:54:49","2024-05-23 13:11:57","0",16,"100","1027","1","2024-05-23 13:11:57","R_5MYs4xlt4h5xoIR","","","","",16,16,"anonymous","EN","1","2","2",4,"3828-2272-6449-1587","19","0","0","1","1","1","for help with school","2","","1","","18","1","","8","regular"
"17","2024-05-23 12:55:01","2024-05-23 13:12:10","0",17,"100","1029","1","2024-05-23 13:12:11","R_6K84lD3I9rbRD8d","","","","",17,17,"anonymous","EN","1","2","2",5,"5941-9246-5745-1642","35","33","28","1","1","1","for work","1","","3","","31","4","","66","regular"
"18","2024-05-23 13:11:49","2024-05-23 13:12:22","0",18,"100","32","1","2024-05-23 13:12:23","R_7IzSGZt8TlFJJmN","","","","",18,18,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"19","2024-05-23 12:55:27","2024-05-23 13:12:29","0",19,"100","1022","1","2024-05-23 13:12:30","R_1VOOd0GHmUAjLvM","","","","",19,19,"anonymous","EN","1","2","2",6,"0684-0490-8005-4923","9","3","4","1","1","2","","2","","1","","38","2","","32","regular"
"20","2024-05-23 12:55:06","2024-05-23 13:12:33","0",20,"100","1047","1","2024-05-23 13:12:34","R_3mO5HewX6utcZVf","","","","",20,20,"anonymous","EN","1","2","2",7,"4315-3374-2800-9970","50","50","50","1","1","1","I've used an AI app before to help with writing or to find information. ","1","","3","","37","4","","75","rudimentary"
"21","2024-05-23 12:55:40","2024-05-23 13:12:49","0",3,"100","1028","1","2024-05-23 13:12:49","R_69gB6UVmiZDdBW2","","","","",3,3,"anonymous","EN","1","2","2",8,"7850-2505-3175-3749","10","84","64","1","1","2","","1","","2","","26","4","","20","regular"
"22","2024-05-23 12:55:11","2024-05-23 13:13:00","0",21,"100","1068","1","2024-05-23 13:13:00","R_61MZT2qEYpO2yog","","","","",21,21,"anonymous","EN","1","2","2",9,"0037-4533-8126-1922","80","50","70","1","1","1","I used it to help me write answers on an employee evaluation form.","2","","3","","37","4","","10","rudimentary"
"23","2024-05-23 12:55:07","2024-05-23 13:13:03","0",22,"100","1075","1","2024-05-23 13:13:03","R_6N83XidYuTEeWH4","","","","",22,22,"anonymous","EN","1","2","2",10,"0859-3977-4681-4583","19","22","66","1","1","1","I used ChatGPT to help setup some more time-consuming tasks for Dungeons and Dragons.","2","","3","","31","4","","70","rudimentary"
"24","2024-05-23 12:54:49","2024-05-23 13:13:05","0",23,"100","1095","1","2024-05-23 13:13:05","R_5WjCpuFE0KTJWyl","","","","",23,23,"anonymous","EN","1","2","2",11,"7671-3881-2772-4245","20","20","20","1","1","1","Out of boredom at work","1","","3","","27","3","","80","regular"
"25","2024-05-23 12:55:04","2024-05-23 13:13:08","0",24,"100","1083","1","2024-05-23 13:13:08","R_1EWH2ZBUzYvvi3L","","","","",24,24,"anonymous","EN","1","2","2",12,"1950-3653-3140-8708","0","0","0","1","1","1","I have used AI for several things, mostly writing prompts and asking questions about things I need in my life.","2","","3","","31","3","","0","rudimentary"
"26","2024-05-23 12:55:12","2024-05-23 13:13:08","0",25,"100","1076","1","2024-05-23 13:13:09","R_3hEHwbIbJ0qTkC3","","","","",25,25,"anonymous","EN","1","2","2",13,"7930-7609-8475-6204","0","0","0","1","1","1","Curiosity","2","","1","","23","3","","0","regular"
"27","2024-05-23 12:55:49","2024-05-23 13:13:10","0",26,"100","1041","1","2024-05-23 13:13:11","R_1mMgKZo3zYWOEBr","","","","",26,26,"anonymous","EN","1","2","2",14,"2584-7381-3897-2732","39","24","43","1","1","1","To improve my writing.","2","","3","","18","3","","70","rudimentary"
"28","2024-05-23 13:12:18","2024-05-23 13:13:19","0",27,"100","61","1","2024-05-23 13:13:19","R_5TSgxvbk8nj5E0c","","","","",27,27,"anonymous","EN","1","1","2",3,"","","","","","","","","","","","","","","","",""
"29","2024-05-23 12:55:44","2024-05-23 13:13:22","0",28,"100","1058","1","2024-05-23 13:13:23","R_6jpvVYqYWPCZ3ce","","","","",28,28,"anonymous","EN","1","2","2",15,"6304-7033-4068-7695","71","83","79","1","1","2","","2","","3","","41","4","","24","rudimentary"
"30","2024-05-23 12:55:49","2024-05-23 13:13:37","0",29,"100","1068","1","2024-05-23 13:13:38","R_5nZXO7C0B1ZgXBL","","","","",29,29,"anonymous","EN","1","2","2",16,"7236-7973-2630-8807","30","31","67","1","1","1","For other studies.","2","","3","","59","3","","16","regular"
"31","2024-05-23 12:55:33","2024-05-23 13:13:46","0",30,"100","1092","1","2024-05-23 13:13:47","R_1M3Qv1KPvw0SThW","","","","",30,30,"anonymous","EN","1","2","2",17,"8884-6243-2337-2369","65","40","70","1","1","2","","2","","3","","38","4","","40","regular"
"32","2024-05-23 12:55:01","2024-05-23 13:13:47","0",31,"100","1125","1","2024-05-23 13:13:47","R_1X9xScqVTdYqfvP","","","","",31,31,"anonymous","EN","1","2","2",18,"3372-1916-3575-4926","0","0","0","1","1","1","To gather general information, finding resources, verifying things, grammar help","1","","4","","26","1","","80","rudimentary"
"33","2024-05-23 12:57:35","2024-05-23 13:14:05","0",32,"100","990","1","2024-05-23 13:14:05","R_6GxZLGeLlgK22U7","","","","",32,32,"anonymous","EN","1","2","2",19,"2671-5055-2434-1739","23","14","11","1","1","2","","1","","2","","30","5","","41","regular"
"34","2024-05-23 12:55:14","2024-05-23 13:14:09","0",33,"100","1134","1","2024-05-23 13:14:09","R_6rM1UsFTxvTtrwf","","","","",33,33,"anonymous","EN","1","2","2",20,"5596-1881-0066-6632","0","0","20","1","1","2","","2","","3","","32","4","","90","rudimentary"
"35","2024-05-23 12:55:48","2024-05-23 13:14:11","0",34,"100","1103","1","2024-05-23 13:14:12","R_7kHYMcQRZjPpPjy","","","","",34,34,"anonymous","EN","1","2","2",21,"7711-6017-9279-1521","0","0","0","1","1","2","","1","","1","","23","4","","25","rudimentary"
"36","2024-05-23 12:56:13","2024-05-23 13:14:16","0",35,"100","1083","1","2024-05-23 13:14:17","R_6Pq4caEbrOYhdI2","","","","",35,35,"anonymous","EN","1","2","2",22,"4451-3330-5757-0740","61","62","66","1","1","1","I was lonely and wanted to chat and also ask questions.","2","","3","","41","3","","50","regular"
"37","2024-05-23 12:56:26","2024-05-23 13:14:16","0",36,"100","1070","1","2024-05-23 13:14:17","R_6hcGJseHKF08bio","","","","",36,36,"anonymous","EN","1","2","2",23,"6433-9858-3801-2625","82","2","2","1","1","2","","1","","3","","37","3","","92","regular"
"38","2024-05-23 12:54:50","2024-05-23 13:14:16","0",37,"100","1166","1","2024-05-23 13:14:17","R_1gMaN192syTPBU8","","","","",37,37,"anonymous","EN","1","2","2",24,"3477-9378-1633-0621","0","0","0","1","1","2","","2","","1","","20","3","","50","regular"
"39","2024-05-23 12:56:51","2024-05-23 13:14:27","0",38,"100","1056","1","2024-05-23 13:14:27","R_5aXyeHmxUCoTg77","","","","",38,38,"anonymous","EN","1","2","2",25,"7071-8056-5155-9532","78","72","75","1","1","2","","1","","3","","38","3","","75","rudimentary"
"40","2024-05-23 12:55:11","2024-05-23 13:14:28","0",39,"100","1156","1","2024-05-23 13:14:28","R_1CBL3sdxYWFjt3r","","","","",39,39,"anonymous","EN","1","2","2",26,"3110-1764-1794-5349","73","75","73","3","1","2","","2","","3","","29","4","","64","rudimentary"
"41","2024-05-23 12:55:42","2024-05-23 13:14:29","0",40,"100","1127","1","2024-05-23 13:14:30","R_6t9WZ1ebMANQfoT","","","","",40,40,"anonymous","EN","1","2","2",27,"7515-5526-7767-7975","65","55","80","1","1","1","Curious how responsive AI could be","1","","3","","29","1","","85","regular"
"42","2024-05-23 12:56:22","2024-05-23 13:14:32","0",41,"100","1089","1","2024-05-23 13:14:33","R_6Xclhh95WhmZHo0","","","","",41,41,"anonymous","EN","1","2","2",28,"4263-2447-8400-9136","20","10","10","1","1","1","General questions, fun, programming help, story writing","1","","3","","42","5","","95","rudimentary"
"43","2024-05-23 12:56:46","2024-05-23 13:14:45","0",42,"100","1078","1","2024-05-23 13:14:45","R_1nDwPZrJJRIHmfV","","","","",13,13,"anonymous","EN","1","2","2",29,"9207-2275-6404-2472","0","0","0","1","1","1","Just for fun. See how it responds and gathers information.","2","","3","","26","1","","69","rudimentary"
"44","2024-05-23 12:57:26","2024-05-23 13:14:56","0",43,"100","1050","1","2024-05-23 13:14:57","R_6jj1nCQSdAWOLTn","","","","",42,42,"anonymous","EN","1","2","2",30,"6347-7216-7918-8274","13","0","0","1","1","1","Because Prolific asked me to ","2","","3","","30","1","","100","rudimentary"
"45","2024-05-23 12:57:44","2024-05-23 13:14:56","0",44,"100","1032","1","2024-05-23 13:14:57","R_1QRWIonAM1Ho7K6","","","","",43,43,"anonymous","EN","1","2","2",31,"1661-6861-9267-6184","13","3","6","1","1","1","I was curious on what it was.","2","","4","","29","3","","82","rudimentary"
"46","2024-05-23 12:55:35","2024-05-23 13:14:59","0",45,"100","1163","1","2024-05-23 13:15:00","R_7L6scytb8LtKFEJ","","","","",44,44,"anonymous","EN","1","2","2",32,"2252-3926-7513-9907","0","0","0","1","1","2","","1","","3","","39","3","","60","regular"
"47","2024-05-23 12:57:45","2024-05-23 13:15:00","0",46,"100","1035","1","2024-05-23 13:15:01","R_5ayJMn5eqmvMRrB","","","","",45,45,"anonymous","EN","1","2","2",33,"7799-0032-9506-2120","0","0","0","1","1","2","","2","","3","","40","3","","20","regular"
"48","2024-05-23 12:56:49","2024-05-23 13:15:07","0",47,"100","1097","1","2024-05-23 13:15:07","R_5xPabyGGCTCz9a9","","","","",46,46,"anonymous","EN","1","2","2",34,"2169-1466-0726-9523","82","50","72","1","1","1","To navigate social expectations.","2","","5","","24","2","","38","regular"
"49","2024-05-23 12:57:53","2024-05-23 13:15:07","0",48,"100","1033","1","2024-05-23 13:15:07","R_5bIX8EC5KXOOTde","","","","",47,47,"anonymous","EN","1","2","2",35,"6611-5589-3664-3893","100","0","0","1","1","2","","2","","3","","56","3","","100","rudimentary"
"50","2024-05-23 12:57:10","2024-05-23 13:15:08","0",49,"100","1078","1","2024-05-23 13:15:09","R_1J26YSeVqQLMVjI","","","","",48,48,"anonymous","EN","1","2","2",36,"5529-2097-7173-5823","25","25","25","1","1","2","","1","","3","","40","4","","95","regular"
"51","2024-05-23 12:57:24","2024-05-23 13:15:19","0",50,"100","1075","1","2024-05-23 13:15:20","R_3e8dCdubWqJe1O8","","","","",49,49,"anonymous","EN","1","2","2",37,"9998-6349-4058-6035","28","2","28","1","1","1","for researching info and out of  curiosity","2","","3","","47","4","","76","rudimentary"
"52","2024-05-23 12:56:17","2024-05-23 13:15:32","0",51,"100","1154","1","2024-05-23 13:15:33","R_1ewUM0elHUeqsM9","","","","",50,50,"anonymous","EN","1","2","2",38,"5399-0185-9217-8787","84","73","76","1","1","1","To get ideas for meal prep and work outs","2","","1","","32","7","","100","rudimentary"
"53","2024-05-23 12:54:51","2024-05-23 13:15:35","0",52,"100","1244","1","2024-05-23 13:15:36","R_3NPr8w2uF5a5eLX","","","","",51,51,"anonymous","EN","1","2","2",39,"1727-3601-1641-4533","0","0","0","1","1","1","I wanted to receive predictions on sports games.","1","","1","","34","4","","0","regular"
"54","2024-05-23 12:56:28","2024-05-23 13:15:35","0",53,"100","1147","1","2024-05-23 13:15:36","R_5goTKuwvvglqGLa","","","","",52,52,"anonymous","EN","1","2","2",40,"9569-2538-8156-4610","50","48","52","1","1","1","Interested in the interaction / level of expertise. ","1","","3","","33","3","","35","regular"
"55","2024-05-23 12:56:06","2024-05-23 13:15:36","0",54,"100","1170","1","2024-05-23 13:15:37","R_6Qf9FsF2aJhiL9T","","","","",53,53,"anonymous","EN","1","2","2",41,"6267-0684-8209-0766","90","90","90","1","1","1","For customer service","1","","5","","41","5","","80","rudimentary"
"56","2024-05-23 12:56:50","2024-05-23 13:15:46","0",55,"100","1136","1","2024-05-23 13:15:47","R_5n6rSTLUqapWX6x","","","","",54,54,"anonymous","EN","1","2","2",42,"6685-9426-2708-6750","0","0","0","1","1","1","Help with unknown questions","2","","3","","65","3","","93","rudimentary"
"57","2024-05-23 13:15:19","2024-05-23 13:15:49","0",56,"100","29","1","2024-05-23 13:15:50","R_3minbm9zHupqFaN","","","","",55,55,"anonymous","EN","1","1","2",3,"","","","","","","","","","","","","","","","",""
"58","2024-05-23 12:58:46","2024-05-23 13:15:56","0",57,"100","1030","1","2024-05-23 13:15:57","R_31hZZXegIIHWp6g","","","","",56,56,"anonymous","EN","1","2","2",43,"5265-8001-9752-9395","46","44","43","1","1","1","To learn more about emerging technology","1","","3","","32","4","","76","regular"
"59","2024-05-23 12:59:16","2024-05-23 13:16:12","0",58,"100","1016","1","2024-05-23 13:16:12","R_5GOyRoLkChLCrIc","","","","",57,57,"anonymous","EN","1","2","2",44,"1371-0760-6307-9095","0","0","0","1","1","2","","2","","3","","66","1","","100","regular"
"60","2024-05-23 12:58:24","2024-05-23 13:16:27","0",9,"100","1083","1","2024-05-23 13:16:28","R_3m3Nawb2CzCIWZv","","","","",9,9,"anonymous","EN","1","2","2",45,"7354-8536-4995-0088","71","57","57","1","1","1","testing google bard","2","","3","","45","2","","62","rudimentary"
"61","2024-05-23 12:57:32","2024-05-23 13:16:31","0",59,"100","1139","1","2024-05-23 13:16:31","R_7dobUIX3j2U3Dep","","","","",58,58,"anonymous","EN","1","2","2",46,"2995-0925-0920-3755","0","0","0","1","1","2","","2","","1","","50","3","","90","regular"
"62","2024-05-23 12:59:40","2024-05-23 13:16:32","0",60,"100","1011","1","2024-05-23 13:16:32","R_3hxXJuQoUxiVJZy","","","","",59,59,"anonymous","EN","1","2","2",47,"7292-0126-8397-2355","21","10","8","1","1","1","chatGBT","2","","4","","23","3","","32","regular"
"63","2024-05-23 12:55:24","2024-05-23 13:16:33","0",61,"100","1269","1","2024-05-23 13:16:34","R_5z7NwQg62IJOxFi","","","","",60,60,"anonymous","EN","1","2","2",48,"4017-3357-4948-7814","80","75","60","1","1","1","Out of curiosity and enjoyment","1","","3","","35","3","","100","rudimentary"
"64","2024-05-23 12:56:17","2024-05-23 13:16:37","0",62,"100","1219","1","2024-05-23 13:16:37","R_1y2VPm11BFYVM7S","","","","",61,61,"anonymous","EN","1","2","2",49,"4780-3295-6099-5369","3","0","0","1","1","2","","1","","3","","46","4","","90","regular"
"65","2024-05-23 12:58:16","2024-05-23 13:17:00","0",63,"100","1123","1","2024-05-23 13:17:00","R_6FkWf3Tzasghndo","","","","",62,62,"anonymous","EN","1","2","2",50,"9283-4619-1720-2161","0","0","0","1","1","1","Maybe I misunderstood, I thought you meant an AI tool in general. I have never actually used an AI as a companion. I only use them to get help with questions. ","2","","4","","36","4","","100","rudimentary"
"66","2024-05-23 12:59:20","2024-05-23 13:17:13","0",10,"100","1073","1","2024-05-23 13:17:14","R_611QKULt5k94AtX","","","","",10,10,"anonymous","EN","1","2","2",51,"5703-5324-1070-0934","0","19","28","1","1","1","Fun.","1","","3","","50","1","","30","rudimentary"
"67","2024-05-23 12:58:16","2024-05-23 13:17:25","0",64,"100","1148","1","2024-05-23 13:17:25","R_5jfDmSVZyGO8out","","","","",63,63,"anonymous","EN","1","2","2",52,"9208-0282-9914-6815","70","30","25","1","1","2","","2","","1","","30","2","","90","regular"
"68","2024-05-23 12:58:43","2024-05-23 13:17:34","0",65,"100","1131","1","2024-05-23 13:17:35","R_5VmwqnEmuo6JGxy","","","","",64,64,"anonymous","EN","1","2","2",53,"6762-4238-1076-8589","2","0","0","1","1","1","I wanted to talk to fictional characters","2","","5","","33","5","","87","regular"
"69","2024-05-23 12:56:13","2024-05-23 13:17:38","0",4,"100","1285","1","2024-05-23 13:17:39","R_5rvjy79RVwTsbNU","","","","",4,4,"anonymous","EN","1","2","2",54,"5046-7331-4222-5312","63","64","67","1","1","2","","1","","1","","22","4","","63","rudimentary"
"70","2024-05-23 12:57:14","2024-05-23 13:17:48","0",66,"100","1233","1","2024-05-23 13:17:48","R_3NEW2dEtjLoKPxm","","","","",65,65,"anonymous","EN","1","2","2",55,"5892-2336-5992-2081","100","100","80","1","1","2","","2","","3","","35","3","","100","rudimentary"
"71","2024-05-23 12:59:31","2024-05-23 13:17:54","0",67,"100","1102","1","2024-05-23 13:17:54","R_17wEkOTeUKIeEX7","","","","",66,66,"anonymous","EN","1","2","2",56,"2761-0704-9139-8056","30","30","20","1","1","1","I was mostly curious in the technology. The concept of creating a specific personality to talk to was also interesting to me.","4","Non-Binary Trans-Femme","3","","26","4","","65","regular"
"72","2024-05-23 13:01:02","2024-05-23 13:17:54","0",68,"100","1012","1","2024-05-23 13:17:55","R_10jcbBZdlPxEDgw","","","","",67,67,"anonymous","EN","1","2","2",57,"1908-9411-4156-2167","40","36","42","1","1","1","because i had to","1","","3","","26","5","","45","rudimentary"
"73","2024-05-23 12:59:15","2024-05-23 13:18:08","0",69,"100","1132","1","2024-05-23 13:18:08","R_3GxDEOZ5VFE9YmY","","","","",68,68,"anonymous","EN","1","2","2",58,"9272-8331-1858-5465","30","18","18","1","1","2","","2","","3","","35","4","","86","regular"
"74","2024-05-23 12:58:07","2024-05-23 13:18:14","0",70,"100","1206","1","2024-05-23 13:18:14","R_7kivqYUOiSM7vQU","","","","",69,69,"anonymous","EN","1","2","2",59,"3191-4637-0704-2435","8","64","73","1","1","2","","2","","5","","45","3","","70","rudimentary"
"75","2024-05-23 12:55:16","2024-05-23 13:18:20","0",71,"100","1383","1","2024-05-23 13:18:20","R_3P1Nsdi7XwuZLsV","","","","",70,70,"anonymous","EN","1","2","2",60,"6644-4309-7979-6617","1","0","0","1","1","1","I use it to help me come up with lesson plans that are unique and to answer basic questions.","2","","3","","48","4","","29","regular"
"76","2024-05-23 12:56:40","2024-05-23 13:18:20","0",72,"100","1300","1","2024-05-23 13:18:21","R_6hF6WjLis7ZXb7E","","","","",71,71,"anonymous","EN","1","2","2",61,"8103-7776-9097-3652","27","7","29","1","1","1","I wanted to test out its capabilities and the extent to which it can have a conversation with me","1","","2","","30","4","","70","regular"
"77","2024-05-23 12:59:33","2024-05-23 13:18:24","0",73,"100","1131","1","2024-05-23 13:18:25","R_6DvYqknq5iVPNMB","","","","",72,72,"anonymous","EN","1","2","2",62,"4703-7198-1716-3143","31","16","16","1","1","1","I've used a character personalization AI app that allowed to create an AI with a specific personality that you create. I did it purely for entertainment purposes.","1","","3","","24","4","","60","rudimentary"
"78","2024-05-23 12:58:56","2024-05-23 13:18:28","0",74,"100","1171","1","2024-05-23 13:18:28","R_788jcubPcWZgTBv","","","","",73,73,"anonymous","EN","1","2","2",63,"6827-9470-0655-2815","0","0","0","1","1","1","calculations for baking","2","","3","","65","3","","95","regular"
"79","2024-05-23 13:18:01","2024-05-23 13:18:41","0",75,"100","40","1","2024-05-23 13:18:42","R_3sBU6WAjHcPLQBz","","","","",74,74,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"80","2024-05-23 13:01:07","2024-05-23 13:18:52","0",76,"100","1064","1","2024-05-23 13:18:52","R_57r0sYcSBG1wkhB","","","","",75,75,"anonymous","EN","1","2","2",64,"4636-5375-9330-6706","0","0","0","1","1","1","to help a student develop a story","1","","3","","45","5","","76","rudimentary"
"81","2024-05-23 12:59:07","2024-05-23 13:18:54","0",77,"100","1187","1","2024-05-23 13:18:55","R_3PNAN6akfHQVPGB","","","","",76,76,"anonymous","EN","1","2","2",65,"7492-8938-5494-7676","0","70","71","1","1","2","","2","","1","","51","4","","80","rudimentary"
"82","2024-05-23 12:57:28","2024-05-23 13:18:58","0",78,"100","1289","1","2024-05-23 13:18:59","R_32y5gii3iexVbWJ","","","","",77,77,"anonymous","EN","1","2","2",66,"9197-4237-2251-2771.","36","8","46","3","1","2","","1","","3","","57","4","","82","regular"
"83","2024-05-23 13:16:01","2024-05-23 13:19:01","0",79,"100","179","1","2024-05-23 13:19:01","R_1H983k6RU251z5T","","","","",78,78,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","",""
"84","2024-05-23 12:59:24","2024-05-23 13:19:18","0",80,"100","1194","1","2024-05-23 13:19:18","R_6nUB0O46yCQZpzg","","","","",79,79,"anonymous","EN","1","2","2",67,"5343-0722-6218-6628","27","30","30","1","1","1","for work and daily life","1","","1","","29","5","","81","rudimentary"
"85","2024-05-23 13:02:27","2024-05-23 13:19:18","0",81,"100","1011","1","2024-05-23 13:19:19","R_3JqGCpye4emX2zT","","","","",80,80,"anonymous","EN","1","2","2",68,"0266-1622-1286-2983","95","87","83","1","1","2","","1","","3","","35","5","","30","rudimentary"
"86","2024-05-23 13:00:40","2024-05-23 13:19:22","0",82,"100","1122","1","2024-05-23 13:19:23","R_5y7VhAB0Po6eU1v","","","","",81,81,"anonymous","EN","1","2","2",69,"2276-9373-1257-0066","22","13","8","1","1","2","","2","","3","","40","4","","61","regular"
"87","2024-05-23 12:59:34","2024-05-23 13:19:23","0",83,"100","1189","1","2024-05-23 13:19:24","R_3s1EJQRXAX3qTSX","","","","",82,82,"anonymous","EN","1","2","2",70,"5851-1604-4977-7830","50","50","50","1","1","1","grammar","2","","3","","33","7","","30","rudimentary"
