;X;Unnamed..0;StartDate;EndDate;Status;Progress;Duration..in.seconds.;Finished;RecordedDate;ResponseId;DistributionChannel;UserLanguage;consent_q;google.acct;att_1;att_2;entertain_predict_3;lonely_predict_3;novel_predict_3;engage_predict_3;comfort_predict_3;interest_predict_3;connect_predict_3;entertain_predict_3.1;lonely_predict_3.1;novel_predict_3.1;engage_predict_3.1;comfort_predict_3.1;interest_predict_3.1;connect_predict_3.1;lonely_1_3;lonely_2_3;lonely_3_3;lonely_4_3;mturk_id;completion_code;timer_First.Click;timer_Last.Click;timer_Page.Submit;timer_Click.Count;screenshot_Id;screenshot_Name;screenshot_Size;screenshot_Type;noInteraction_timer_First.Click;noInteraction_timer_Last.Click;noInteraction_timer_Page.Submit;noInteraction_timer_Click.Count;entertain_exp_3;lonely_exp_3;novel_exp_3;engage_exp_3;comfor_exp_3;interest_exp_3;connect_exp_3;entertain_exp_3.1;lonely_exp_3.1;novel_exp_3.1;engage_exp_3.1;comfort_exp_3;interest_exp_3.1;connected_exp_3;lonely_1_after_3;lonely_2_after_3;lonely_3_after_3;lonely_4_after_3;comp_1;comp_2;able_nothing;able_nothing_explain;believe_q;explain;ai_attitude_1_6;ai_attitude_2_1;ai_attitude_3_1;ai_attitude_4_1;ai_attitude_5_1;ai_attitude_6_1;ai_attitude_7_1;ai_attitude_8_1;ai_attitude_9_1;ai_attitude_10_1;ai_attitude_11_1;ai_attitude_12_1;ai_attitude_13_1;ai_attitude_14_1;ai_attitude_15_1;ai_attitude_16_1;chatbot;chatbot_exp;gender;gender_4_TEXT;ethnicity;ethnicity_6_TEXT;age;edu;edu_8_TEXT;workerId;condition_2;condition
11;10;10;2023-04-05 13:06:31;2023-04-05 13:26:35;0;100;1203;1;2023-04-05 13:26:36;R_1g8CKDlKdSt1uIG;anonymous;EN;1;1;2;2;;;;;;;;54;56;53;59;37;66;53;63;54;74;71;11;6095-2602-4810-8771;;;;;;;;;;;;;;;;;;;;57;55;56;57;54;54;54;55;43;55;57;2;1;;;2;They didn't seem to talk about themselves all that much and responses took a while;63;61;64;76;61;82;41;68;64;32;37;41;59;50;51;59;2;;2;;3;;30;4;;11;0;another person
12;11;11;2023-04-05 13:05:09;2023-04-05 13:26:47;0;100;1298;1;2023-04-05 13:26:48;R_3DoLa4qhLZ2jf5G;anonymous;EN;1;1;2;2;;;;;;;;100;0;100;100;69;100;100;1;9;0;0;12;2102-4366-5598-1351;;;;;;;;;;;;;;;;;;;;100;9;100;100;100;100;100;0;9;0;0;1;1;;;1;They responded to what I was asking and also took time to delete and rewrite sentences;100;100;100;100;98;91;100;100;13;5;3;0;100;0;0;100;2;;2;;1;;36;4;;12;0;another person
13;12;12;2023-04-05 13:05:29;2023-04-05 13:29:07;0;100;1417;1;2023-04-05 13:29:07;R_1Q9DcK18fEVFgh3;anonymous;EN;1;1;2;2;;;;;;;;70;30;80;75;57;72;50;81;85;80;77;13;9090-5410-0964-1661;;;;;;;;;;;;;;;;;;;;87;16;86;86;98;91;90;70;60;55;43;3;1;;;1;A chatbot would have more of a structured way of speaking. A more formal cadence to their speech is common. He seemed real especially due to the fact that he wasn't too quickly responding. He also wasn't asking me too many probing questions which chatbots that I have sued commonly do. ;56;58;71;60;70;70;64;79;75;50;77;32;46;56;8;17;1;I was a subscriber to Replika which was always a fun experience. You could talk to it and tell it anything and it would remember what you say and respond more naturally than any other chatbot. Then I also used some chatbots that were modelled after famous people and that was crazy and fun. ;1;;3;;32;3;;13;0;another person
14;13;13;2023-04-05 12:58:20;2023-04-05 13:29:32;0;100;1872;1;2023-04-05 13:29:33;R_2tMvgsQk1ydqqbS;anonymous;EN;1;1;2;2;;;;;;;;50;40;55;60;50;55;56;30;20;10;10;14;1885-8040-8473-3770;;;;;;;;;;;;;;;;;;;;80;0;93;90;84;85;90;0;0;0;0;2;1;;;1;The instruction were written that I was to interact with another person and that is what I believed was going on. ;70;80;82;71;20;50;30;76;40;40;40;70;80;60;40;70;2;;1;;1;;46;2;;14;0;another person
15;14;14;2023-04-05 13:05:42;2023-04-05 13:29:59;0;100;1457;1;2023-04-05 13:30:00;R_1P8cFNLWuC4VNPI;anonymous;EN;1;1;2;2;;;;;;;;50;27;50;13;26;58;60;56;69;59;50;15;9329-6938-6678-5555;;;;;;;;;;;;;;;;;;;;64;38;50;80;64;69;70;30;39;31;23;3;1;;;2;All of the responses used very similar language and did not vary much.;54;58;74;66;81;54;70;100;100;86;94;83;27;100;100;66;2;;1;;3;;55;3;;15;ai;another person
16;15;15;2023-04-05 13:08:06;2023-04-05 13:31:10;0;100;1384;1;2023-04-05 13:31:11;R_3FL5XhCFIzX8vbm;anonymous;EN;1;1;2;2;;;;;;;;75;79;86;72;90;72;82;85;74;89;73;16;0999-6902-7412-2170;;;;;;;;;;;;;;;;;;;;84;78;87;90;84;84;85;83;80;88;81;1;1;;;1;Its a Amazing feel;80;72;86;71;85;74;90;76;90;82;86;73;92;99;80;82;2;;1;;3;;25;4;;16;0;another person
17;16;16;2023-04-05 13:11:04;2023-04-05 13:33:36;0;100;1351;1;2023-04-05 13:33:36;R_DUf1RK8bn8gXGCZ;anonymous;EN;1;1;2;2;;;;;;;;62;36;75;72;50;70;65;0;0;0;0;17;9429-2034-1692-1628;;;;;;;;;;;;;;;;;;;;75;50;63;79;81;75;71;0;0;0;0;3;1;;;2;Seemed very awkward.  Responded strangely to a couple of my questions.;60;29;50;67;68;78;88;59;92;98;50;18;50;99;80;17;1;On amazon, prior to being connected to a real person.;2;;3;;47;1;;17;0;another person
18;17;17;2023-04-05 13:09:54;2023-04-05 13:36:02;0;100;1567;1;2023-04-05 13:36:02;R_7QHf3aYKKy24a4x;anonymous;EN;1;1;2;2;;;;;;;;81;9;78;80;77;79;92;100;100;100;100;18;8313-1669-0211-5555;;;;;;;;;;;;;;;;;;;;40;70;10;20;50;20;30;100;100;100;100;3;1;;;2;I thought it was a chatbot because it didn't act like a person. The responses were too robotic, almost copy-pasted in some parts. Asking generic questions. That sort of thing. There was no natural human rhythm.;61;60;71;70;50;31;50;60;50;20;19;20;29;15;49;51;2;;2;;1;;32;5;;18;ai;another person
19;18;18;2023-04-05 13:03:29;2023-04-05 13:38:49;0;100;2120;1;2023-04-05 13:38:50;R_2Ey4IwzmqI11kls;anonymous;EN;1;1;2;2;;;;;;;;74;72;65;61;73;59;44;80;40;75;75;19;5450-9286-4865-5555;;;;;;;;;;;;;;;;;;;;66;84;100;90;87;64;67;82;68;88;77;2;1;;;1;because of gaining a geeral knowledge and etc;89;65;84;63;93;68;86;75;100;69;93;73;86;67;92;76;2;;2;;3;;56;5;;19;ai;another person
20;19;19;2023-04-05 13:13:58;2023-04-05 13:41:51;0;100;1673;1;2023-04-05 13:41:52;R_3QXWzpaRHjPnJiy;anonymous;EN;1;1;2;2;;;;;;;;100;0;100;100;100;100;100;0;0;0;0;20;4243-0479-3520-5555;;;;;;;;;;;;;;;;;;;;100;0;100;100;100;100;100;0;0;0;0;3;1;;;2;I wasn't sure at first, but it was the way the same sentence was used in different interactions;100;100;100;100;70;50;19;100;50;0;0;0;77;11;1;75;1;I have used the ChatGPT;2;;3;;64;3;;20;ai;another person
21;20;20;2023-04-05 13:27:32;2023-04-05 13:48:25;0;100;1253;1;2023-04-05 13:48:26;R_31bxLTufSPm4ma7;anonymous;EN;1;1;2;2;;;;;;;;60;50;68;86;10;59;29;0;0;0;0;21;7785-3725-2863-5555;;;;;;;;;;;;;;;;;;;;92;16;98;92;72;100;92;0;0;0;0;3;1;;;2;It felt like the conversation kept trying to engage me more instead of being balanced like it is with normal people. As people tend to talk about themselves more.;94;92;100;100;63;100;39;97;0;0;0;0;94;0;0;86;1;Briefly used a bot chat app, though I forgot it's name.;2;;4;;36;4;;21;ai;another person
22;21;21;2023-04-05 13:48:48;2023-04-05 13:49:22;0;100;34;1;2023-04-05 13:49:23;R_OQgee95uYA5Xutb;anonymous;EN;1;1;2;1;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;0;another person
23;22;22;2023-04-05 13:18:59;2023-04-05 13:51:41;0;100;1962;1;2023-04-05 13:51:42;R_SSLH8TmBjdhvB97;anonymous;EN;1;1;2;2;;;;;;;;96;0;100;100;99;99;100;0;0;1;0;23;1648-4145-1760-5555;;;;;;;;;;;;;;;;;;;;100;0;100;100;100;92;93;0;1;1;3;3;1;;;2;very speed response;83;100;93;84;50;91;29;83;87;80;27;73;77;8;25;85;2;;2;;1;;24;5;;23;ai;another person
24;23;23;2023-04-05 13:28:31;2023-04-05 13:54:56;0;100;1585;1;2023-04-05 13:54:57;R_2wKrYdUin2tpTLT;anonymous;EN;1;1;2;2;;;;;;;;100;0;100;100;50;75;100;100;75;100;50;24;4727-4555-1034-5555;;;;;;;;;;;;;;;;;;;;0;50;50;0;50;0;0;100;75;100;50;3;1;;;2;Even though I tried to end a particular subject, it kept repeating the same questions back to me.;75;75;75;75;50;50;50;75;100;50;75;50;50;75;50;75;2;;1;;3;;36;4;;24;ai;another person
25;24;24;2023-04-05 13:35:58;2023-04-05 13:55:51;0;100;1192;1;2023-04-05 13:55:51;R_ePpYfNQB5spbRxT;anonymous;EN;1;1;2;2;;;;;;;;65;20;50;62;64;60;90;0;0;16;0;25;3995-1866-7982-5555;;;;;;;;;;;;;;;;;;;;80;0;45;71;68;71;83;0;0;0;0;3;1;;;2;They kept circling back to the same questions and not really providing anything super unique to them to sound like a person;85;92;100;78;64;75;54;77;36;8;0;9;48;34;0;39;1;It was a long time ago and I forget the name of it, but I think it was through google;2;;3;;29;3;;25;ai;another person
26;25;25;2023-04-05 13:36:13;2023-04-05 14:00:41;0;100;1467;1;2023-04-05 14:00:42;R_9nNj7eSOIUdsxcB;anonymous;EN;1;1;2;2;;;;;;;;56;56;78;59;70;70;58;0;0;0;0;26;0914-5883-9583-5555;;;;;;;;;;;;;;;;;;;;90;90;90;90;95;90;90;0;0;0;0;2;1;;;1;The responses I was getting the the other person did not seem random and seemed to have feeling behind them. ;75;75;75;80;40;80;80;90;70;10;10;10;90;10;10;35;2;;2;;3;;56;5;;26;ai;another person
27;26;26;2023-04-05 13:38:50;2023-04-05 14:01:42;0;100;1371;1;2023-04-05 14:01:43;R_2ya1m6w1SJl0NfG;anonymous;EN;1;1;2;2;;;;;;;;34;59;26;33;32;37;36;14;15;19;9;27;8763-8977-7188-5027;;;;;;;;;;;;;;;;;;;;69;18;78;70;74;77;74;8;10;6;13;3;1;;;1;Seemed natural;28;29;24;28;83;22;82;28;93;79;88;89;22;97;23;33;1;ChatGPT;1;;3;;47;4;;27;0;another person
28;27;27;2023-04-05 13:15:29;2023-04-05 14:02:24;0;100;2814;1;2023-04-05 14:02:24;R_3ilgI7pDWOMeTuq;anonymous;EN;1;1;2;2;;;;;;;;50;31;50;50;85;50;30;78;65;62;67;28;1173-6051-7970-5555;;;;;;;;;;;;;;;;;;;;60;66;68;50;78;72;32;77;71;71;61;2;1;;;2;They kept asking the same things too much. and it seemed too geared towards them;50;51;34;34;71;32;88;12;50;32;78;18;21;50;69;14;1;Sadly, most companies use them these days, and some of them don't even let you speak to a human!!!;1;;3;;50;4;;28;ai;another person
29;28;28;2023-04-05 13:45:35;2023-04-05 14:06:39;0;100;1264;1;2023-04-05 14:06:40;R_ebdf25vnc3zPavv;anonymous;EN;1;1;2;2;;;;;;;;83;39;60;73;55;50;50;64;55;90;70;29;2090-2028-8507-3378;;;;;;;;;;;;;;;;;;;;86;0;65;93;77;89;95;25;8;15;1;3;1;;;1;they seemed to give human responses and I really wanted to believe that a real person was there instead of chatbot.;56;57;50;46;100;65;89;50;74;82;81;70;42;90;95;33;1;On a health insurance website for assistance with my account;2;;1;;36;2;;29;0;another person
