"","X","conversation","start_time","duration_in_mins","human_word_amt","turns","chatbot_word_amt","id","contains_loneliness_dict","detected_loneliness_msgs","full_conversation","loneliness_message_pairs","contains_loneliness_llm"
"59",58,"Anonymized","2022-02-22 14:56:50",2.43,25,12,52,"WYDX4UE4D7_2022-02-22 14:56:50","False","","Anonymized","Anonymized",0
"60",59,"Anonymized","2022-02-22 19:51:18",3.25,50,12,46,"WYDYWD6M1K_2022-02-22 19:51:18","False","","Anonymized","Anonymized",0
"61",60,"Anonymized","2022-02-22 06:50:24",2.23,46,8,37,"AYA7XV9EYE_2022-02-22 06:50:24","False","","Anonymized","Anonymized",0
"62",61,"Anonymized","2022-02-22 09:20:44",0.7,13,5,26,"AYA7XV9EYE_2022-02-22 09:20:44","False","","Anonymized","Anonymized",0
"63",62,"Anonymized","2022-02-22 11:24:45",3.95,79,13,61,"AYAA2CZG2X_2022-02-22 11:24:45","False","","Anonymized","Anonymized",0
"64",63,"Anonymized","2022-02-22 14:02:34",1.72,48,13,59,"AYAD8BZZM2_2022-02-22 14:02:34","False","","Anonymized","Anonymized",0
"65",64,"Anonymized","2022-02-22 00:09:21",2.78,41,13,36,"AYAELCPTVC_2022-02-22 00:09:21","False","","Anonymized","Anonymized",0
"66",65,"Anonymized","2022-02-22 02:07:44",3.7,43,13,46,"AYAKA6NNYA_2022-02-22 02:07:44","False","","Anonymized","Anonymized",0
"67",66,"Anonymized","2022-02-22 03:24:43",17.58,33,13,41,"AYAVFWDDJO_2022-02-22 03:24:43","False","","Anonymized","Anonymized",0
"68",67,"Anonymized","2022-02-22 21:36:25",14.57,69,13,173,"AYAVYQXGEC_2022-02-22 21:36:25","False","","Anonymized","Anonymized",0
"69",68,"Anonymized","2022-02-22 14:10:40",5.28,56,13,48,"AYAZML3ASA_2022-02-22 14:10:40","False","","Anonymized","Anonymized",0
"70",69,"Anonymized","2022-02-22 20:55:38",3.95,54,13,52,"MCDBL2JEU3_2022-02-22 20:55:38","False","","Anonymized","Anonymized",0
"71",70,"Anonymized","2022-02-22 20:51:10",2.18,39,13,49,"MCDC2EBANO_2022-02-22 20:51:10","False","","Anonymized","Anonymized",0
"72",71,"Anonymized","2022-02-22 13:25:27",3.9,33,13,47,"MCDT4VS1TW_2022-02-22 13:25:27","False","","Anonymized","Anonymized",0
"73",72,"Anonymized","2022-02-22 17:27:09",9.1,46,11,44,"MCDTUR7RBQ_2022-02-22 17:27:09","False","","Anonymized","Anonymized",0
"74",73,"Anonymized","2022-02-22 18:41:51",0.13,2,2,8,"MCDTUR7RBQ_2022-02-22 18:41:51","False","","Anonymized","Anonymized",0
"75",74,"Anonymized","2022-02-22 04:06:39",3.68,49,13,76,"MCGLZYX1BE_2022-02-22 04:06:39","False","","Anonymized","Anonymized",0
"76",75,"Anonymized","2022-02-22 21:46:24",4.23,66,13,47,"MCGY3SZ3AI_2022-02-22 21:46:24","False","","Anonymized","Anonymized",0
"77",76,"Anonymized","2022-02-22 03:14:40",2.43,67,13,66,"WXB3S2E2XV_2022-02-22 03:14:40","False","","Anonymized","Anonymized",0
"78",77,"Anonymized","2022-02-22 18:29:31",14.05,95,13,71,"WXB3SZYOOK_2022-02-22 18:29:31","False","","Anonymized","Anonymized",0
"79",78,"Anonymized","2022-02-22 02:12:54",3.47,42,13,46,"WXB6XSSDLN_2022-02-22 02:12:54","False","","Anonymized","Anonymized",0
"80",79,"Anonymized","2022-02-22 01:42:39",4.38,62,13,53,"WXBCI3L4I8_2022-02-22 01:42:39","False","","Anonymized","Anonymized",0
"81",80,"Anonymized","2022-02-22 13:50:37",2.55,44,13,49,"WXBMHB1GQ9_2022-02-22 13:50:37","False","","Anonymized","Anonymized",0
"82",81,"Anonymized","2022-02-22 03:53:37",11.15,81,13,49,"WXBYYEFU8E_2022-02-22 03:53:37","False","","Anonymized","Anonymized",0
"83",82,"Anonymized","2022-02-22 15:23:52",6.38,33,13,50,"WXBZ28EWEU_2022-02-22 15:23:52","False","","Anonymized","Anonymized",0
"84",83,"Anonymized","2022-02-22 18:56:39",2.65,52,13,37,"WXBZUPU59K_2022-02-22 18:56:39","False","","Anonymized","Anonymized",0
"85",84,"Anonymized","2022-02-22 21:49:07",16.2,37,13,37,"WXDC4W9U5Y_2022-02-22 21:49:07","False","","Anonymized","Anonymized",0
"86",85,"Anonymized","2022-02-22 00:49:36",5.98,84,13,62,"WXDD8GVVDG_2022-02-22 00:49:36","False","","Anonymized","Anonymized",0
"87",86,"Anonymized","2022-02-22 04:35:18",3.35,66,13,66,"WXDEDVAFK5_2022-02-22 04:35:18","False","","Anonymized","Anonymized",0
"88",87,"Anonymized","2022-02-22 19:32:47",3.08,29,13,39,"WXDEWBLB3A_2022-02-22 19:32:47","False","","Anonymized","Anonymized",0
"89",88,"Anonymized","2022-02-22 06:48:30",2.15,56,13,50,"WXDM7RAC8X_2022-02-22 06:48:30","False","","Anonymized","Anonymized",0
"90",89,"Anonymized","2022-02-22 23:56:12",3.63,47,13,50,"WXDSHUA44S_2022-02-22 23:56:12","False","","Anonymized","Anonymized",0
"91",90,"Anonymized","2022-02-22 01:55:46",2.18,45,13,41,"WXDSV6NAYE_2022-02-22 01:55:46","False","","Anonymized","Anonymized",0
"92",91,"Anonymized","2022-02-22 08:36:47",2.05,36,13,58,"WXDW8W3SRS_2022-02-22 08:36:47","False","","Anonymized","Anonymized",0
"93",92,"Anonymized","2022-02-22 23:32:38",2.2,38,13,63,"WXDWC2XCOX_2022-02-22 23:32:38","False","","Anonymized","Anonymized",0
"94",93,"Anonymized","2022-02-22 20:58:45",4.92,59,13,61,"WXIAON9V4G_2022-02-22 20:58:45","False","","Anonymized","Anonymized",0
"95",94,"Anonymized","2022-02-22 11:45:18",2.75,49,13,40,"WXINKEEC4M_2022-02-22 11:45:18","False","","Anonymized","Anonymized",0
"96",95,"Anonymized","2022-02-22 13:37:50",1.58,34,13,43,"WXIO8H44P4_2022-02-22 13:37:50","False","","Anonymized","Anonymized",0
"97",96,"Anonymized","2022-02-22 17:44:44",2.2,50,13,63,"WXIVUNY94G_2022-02-22 17:44:44","False","","Anonymized","Anonymized",0
"98",97,"Anonymized","2022-02-22 17:23:42",1.98,40,13,80,"WYB3H1L3AO_2022-02-22 17:23:42","False","","Anonymized","Anonymized",0
"99",98,"Anonymized","2022-02-22 19:01:34",3.77,36,13,41,"WYB4A4WHEQ_2022-02-22 19:01:34","False","","Anonymized","Anonymized",0
"100",99,"Anonymized","2022-02-22 15:06:50",10.07,41,13,43,"WYB7TBVKUW_2022-02-22 15:06:50","False","","Anonymized","Anonymized",0
"101",100,"Anonymized","2022-02-22 01:45:11",1.45,35,13,38,"WYB7TJ1ENE_2022-02-22 01:45:11","False","","Anonymized","Anonymized",0
"102",101,"Anonymized","2022-02-22 17:24:07",3.03,36,13,46,"WYBKR3A6FW_2022-02-22 17:24:07","False","","Anonymized","Anonymized",0
"103",102,"Anonymized","2022-02-22 20:04:06",1.48,38,13,57,"WYD81FMNER_2022-02-22 20:04:06","False","","Anonymized","Anonymized",0
"104",103,"Anonymized","2022-02-22 17:54:41",1.95,34,13,60,"WYD83TQPZX_2022-02-22 17:54:41","False","","Anonymized","Anonymized",0
"105",104,"Anonymized","2022-02-22 19:13:54",15.2,103,13,100,"WYD9DTHILR_2022-02-22 19:13:54","False","","Anonymized","Anonymized",0
"106",105,"Anonymized","2022-02-22 06:40:36",5.9,46,13,42,"WYDFD7K5D1_2022-02-22 06:40:36","False","","Anonymized","Anonymized",0
"107",106,"Anonymized","2022-02-22 23:35:02",3.28,40,13,54,"WYDH2T3JJ9_2022-02-22 23:35:02","False","","Anonymized","Anonymized",0
"108",107,"Anonymized","2022-02-22 10:55:32",3.53,48,13,67,"WYDL8AY1RG_2022-02-22 10:55:32","False","","Anonymized","Anonymized",0
"109",108,"Anonymized","2022-02-22 03:52:00",2.3,50,13,37,"WYDN8YZY8O_2022-02-22 03:52:00","False","","Anonymized","Anonymized",0
"110",109,"Anonymized","2022-02-22 03:59:24",8.13,45,13,51,"WYDR4NF6NK_2022-02-22 03:59:24","False","","Anonymized","Anonymized",0
"111",110,"Anonymized","2022-02-22 12:40:37",1.82,35,13,48,"WYDX67SKEX_2022-02-22 12:40:37","False","","Anonymized","Anonymized",0
"112",111,"Anonymized","2022-02-22 18:49:14",2.98,54,13,46,"WYDYGFDVH6_2022-02-22 18:49:14","False","","Anonymized","Anonymized",0
"113",112,"Anonymized","2022-02-22 23:42:55",7.95,64,14,62,"AYA3KISAZQ_2022-02-22 23:42:55","False","","Anonymized","Anonymized",0
"114",113,"Anonymized","2022-02-22 00:00:54",4.93,41,14,69,"AYAAA7VQXB_2022-02-22 00:00:54","False","","Anonymized","Anonymized",0
"115",114,"Anonymized","2022-02-22 03:52:05",5.2,49,14,49,"AYAFEQVKSM_2022-02-22 03:52:05","False","","Anonymized","Anonymized",0
"116",115,"Anonymized","2022-02-22 02:41:01",3.77,81,14,48,"AYAHJDTZAJ_2022-02-22 02:41:01","False","","Anonymized","Anonymized",0
"117",116,"Anonymized","2022-02-22 06:08:19",1.85,37,14,64,"AYARQW5H3G_2022-02-22 06:08:19","False","","Anonymized","Anonymized",0
"118",117,"Anonymized","2022-02-22 18:23:09",3.48,52,14,51,"MCDZZJJZVB_2022-02-22 18:23:09","False","","Anonymized","Anonymized",0
"119",118,"Anonymized","2022-02-22 23:49:30",3.72,71,14,49,"MCG4WSKNZV_2022-02-22 23:49:30","False","","Anonymized","Anonymized",0
"120",119,"Anonymized","2022-02-22 01:54:09",1.02,19,2,13,"MCGDQEKVHA_2022-02-22 01:54:09","False","","Anonymized","Anonymized",0
"121",120,"Anonymized","2022-02-22 05:24:24",15.02,85,12,123,"MCGDQEKVHA_2022-02-22 05:24:24","False","","Anonymized","Anonymized",0
"122",121,"Anonymized","2022-02-22 02:31:01",5.1,56,14,46,"WXB2O82YDR_2022-02-22 02:31:01","False","","Anonymized","Anonymized",0
"123",122,"Anonymized","2022-02-22 03:27:28",1.78,37,14,65,"WXB4UTYYKB_2022-02-22 03:27:28","False","","Anonymized","Anonymized",0
"124",123,"Anonymized","2022-02-22 16:43:32",2.2,26,7,31,"WXB572Y2FC_2022-02-22 16:43:32","False","","Anonymized","Anonymized",0
"125",124,"Anonymized","2022-02-22 19:35:40",3.72,38,7,49,"WXB572Y2FC_2022-02-22 19:35:40","False","","Anonymized","Anonymized",1
"126",125,"Anonymized","2022-02-22 13:26:22",4.68,37,14,41,"WXBJ7G5PB2_2022-02-22 13:26:22","False","","Anonymized","Anonymized",0
"127",126,"Anonymized","2022-02-22 12:58:21",3.25,84,14,67,"WXBKE8CDYE_2022-02-22 12:58:21","False","","Anonymized","Anonymized",0
"128",127,"Anonymized","2022-02-22 18:53:50",22.43,129,14,87,"WXBMXB4IYY_2022-02-22 18:53:50","False","","Anonymized","Anonymized",0
"129",128,"Anonymized","2022-02-22 03:26:45",3.55,43,14,45,"WXBOZYHGHX_2022-02-22 03:26:45","False","","Anonymized","Anonymized",0
"130",129,"Anonymized","2022-02-22 19:02:09",2.08,42,14,58,"WXBPQ8FQWZ_2022-02-22 19:02:09","False","","Anonymized","Anonymized",0
"131",130,"Anonymized","2022-02-22 01:02:51",2.88,56,14,53,"WXBZ2FDQ1N_2022-02-22 01:02:51","False","","Anonymized","Anonymized",0
"132",131,"Anonymized","2022-02-22 14:38:12",8.43,38,14,48,"WXD3P46CJL_2022-02-22 14:38:12","False","","Anonymized","Anonymized",0
"133",132,"Anonymized","2022-02-22 23:40:54",13.7,35,14,44,"WXD4TKMUTL_2022-02-22 23:40:54","False","","Anonymized","Anonymized",0
"134",133,"Anonymized","2022-02-22 01:26:19",3.25,64,14,69,"WXD5QVBNSS_2022-02-22 01:26:19","False","","Anonymized","Anonymized",0
"135",134,"Anonymized","2022-02-22 06:45:47",10.75,85,14,47,"WXDEOFCN66_2022-02-22 06:45:47","False","","Anonymized","Anonymized",0
"136",135,"Anonymized","2022-02-22 23:36:06",3.53,48,14,49,"WXDFO21L1K_2022-02-22 23:36:06","False","","Anonymized","Anonymized",0
"137",136,"Anonymized","2022-02-22 21:00:04",2.07,33,14,40,"WXDJ6GNIKU_2022-02-22 21:00:04","False","","Anonymized","Anonymized",0
"138",137,"Anonymized","2022-02-22 18:08:19",5.38,102,14,70,"WXDJZOPCTY_2022-02-22 18:08:19","False","","Anonymized","Anonymized",0
"139",138,"Anonymized","2022-02-22 00:20:04",1.7,42,14,36,"WXDOBR56N3_2022-02-22 00:20:04","False","","Anonymized","Anonymized",0
"140",139,"Anonymized","2022-02-22 04:21:19",1.95,64,14,51,"WXDRP1SYFN_2022-02-22 04:21:19","False","","Anonymized","Anonymized",0
"141",140,"Anonymized","2022-02-22 01:09:59",5.48,83,14,78,"WXDTEBZJNS_2022-02-22 01:09:59","False","","Anonymized","Anonymized",0
"142",141,"Anonymized","2022-02-22 17:21:54",28.92,120,14,82,"WXDWA8MINQ_2022-02-22 17:21:54","False","","Anonymized","Anonymized",0
"143",142,"Anonymized","2022-02-22 02:05:32",6.15,50,14,41,"WXICZX43B7_2022-02-22 02:05:32","False","","Anonymized","Anonymized",0
"144",143,"Anonymized","2022-02-22 19:54:24",1.4,53,10,40,"WXID9EQ9AG_2022-02-22 19:54:24","False","","Anonymized","Anonymized",0
"145",144,"Anonymized","2022-02-22 20:50:25",0.53,10,4,18,"WXID9EQ9AG_2022-02-22 20:50:25","False","","Anonymized","Anonymized",0
"146",145,"Anonymized","2022-02-22 19:50:57",2.6,60,14,75,"WXIFR6YFXB_2022-02-22 19:50:57","False","","Anonymized","Anonymized",0
"147",146,"Anonymized","2022-02-22 21:33:14",1.65,43,14,45,"WXIHIQDUTI_2022-02-22 21:33:14","False","","Anonymized","Anonymized",0
"148",147,"Anonymized","2022-02-22 19:50:53",7.03,66,14,63,"WXIUELZQJY_2022-02-22 19:50:53","False","","Anonymized","Anonymized",0
"149",148,"Anonymized","2022-02-22 05:47:08",10.2,39,14,43,"WXIYMVIQHM_2022-02-22 05:47:08","False","","Anonymized","Anonymized",0
"150",149,"Anonymized","2022-02-22 18:25:46",3.03,78,14,54,"WYB6MADWL8_2022-02-22 18:25:46","False","","Anonymized","Anonymized",0
"151",150,"Anonymized","2022-02-22 05:49:40",6.55,36,3,9,"WYBKD9F2FE_2022-02-22 05:49:40","False","","Anonymized","Anonymized",0
"152",151,"Anonymized","2022-02-22 18:42:36",0.22,28,2,15,"WYBKD9F2FE_2022-02-22 18:42:36","False","","Anonymized","Anonymized",0
"153",152,"Anonymized","2022-02-22 20:33:50",0,10,1,19,"WYBKD9F2FE_2022-02-22 20:33:50","False","","Anonymized","Anonymized",0
"154",153,"Anonymized","2022-02-22 22:20:51",12.13,59,8,29,"WYBKD9F2FE_2022-02-22 22:20:51","False","","Anonymized","Anonymized",0
"155",154,"Anonymized","2022-02-22 18:48:36",3.77,64,14,49,"WYBPW9L1XL_2022-02-22 18:48:36","False","","Anonymized","Anonymized",0
"156",155,"Anonymized","2022-02-22 00:27:16",2.3,49,14,59,"WYBSWBABJ7_2022-02-22 00:27:16","False","","Anonymized","Anonymized",0
"157",156,"Anonymized","2022-02-22 20:37:28",11.03,98,14,71,"WYBT6JLDBX_2022-02-22 20:37:28","False","","Anonymized","Anonymized",0
"158",157,"Anonymized","2022-02-22 22:36:50",4.87,76,14,58,"WYBVH5OEMO_2022-02-22 22:36:50","False","","Anonymized","Anonymized",0
"159",158,"Anonymized","2022-02-22 04:57:31",3.05,66,14,73,"WYBWVE8FCU_2022-02-22 04:57:31","False","","Anonymized","Anonymized",0
"160",159,"Anonymized","2022-02-22 17:41:07",9.08,89,14,75,"WYD2PVHBCF_2022-02-22 17:41:07","False","","Anonymized","Anonymized",0
"161",160,"Anonymized","2022-02-22 03:44:00",1.57,40,12,50,"WYD48GZC8L_2022-02-22 03:44:00","False","","Anonymized","Anonymized",0
"162",161,"Anonymized","2022-02-22 04:33:19",0.12,6,2,15,"WYD48GZC8L_2022-02-22 04:33:19","False","","Anonymized","Anonymized",0
"163",162,"Anonymized","2022-02-22 22:16:58",13.88,41,14,49,"WYD7DPQ375_2022-02-22 22:16:58","False","","Anonymized","Anonymized",0
"164",163,"Anonymized","2022-02-22 07:08:08",3.28,42,14,190,"WYDAOIIA5I_2022-02-22 07:08:08","False","","Anonymized","Anonymized",0
"165",164,"Anonymized","2022-02-22 11:43:11",3.85,53,14,72,"WYDB1C9WEV_2022-02-22 11:43:11","False","","Anonymized","Anonymized",0
"166",165,"Anonymized","2022-02-22 04:43:55",13.63,66,14,61,"WYDBJW6PUO_2022-02-22 04:43:55","False","","Anonymized","Anonymized",0
"167",166,"Anonymized","2022-02-22 22:21:56",2.1,41,14,52,"WYDKKSC4O2_2022-02-22 22:21:56","False","","Anonymized","Anonymized",0
"168",167,"Anonymized","2022-02-22 02:01:00",2.12,59,14,55,"WYDNEYDWXP_2022-02-22 02:01:00","False","","Anonymized","Anonymized",0
"169",168,"Anonymized","2022-02-22 02:49:02",5,51,14,44,"WYDQU5M9RU_2022-02-22 02:49:02","False","","Anonymized","Anonymized",0
"170",169,"Anonymized","2022-02-22 16:58:53",2.07,50,14,52,"WYDQVEQATC_2022-02-22 16:58:53","False","","Anonymized","Anonymized",0
"171",170,"Anonymized","2022-02-22 02:04:27",26.65,37,14,57,"WYDSHYG51B_2022-02-22 02:04:27","False","","Anonymized","Anonymized",0
"172",171,"Anonymized","2022-02-22 16:53:56",4.4,48,14,60,"WYDVC7GFQB_2022-02-22 16:53:56","False","","Anonymized","Anonymized",0
"173",172,"Anonymized","2022-02-22 18:23:16",6.43,58,14,51,"WYDYUVRW3E_2022-02-22 18:23:16","False","","Anonymized","Anonymized",0
"174",173,"Anonymized","2022-02-22 00:20:16",24.48,83,15,58,"AYA2T6XKVQ_2022-02-22 00:20:16","False","","Anonymized","Anonymized",0
"175",174,"Anonymized","2022-02-22 14:39:51",10.28,63,15,53,"AYAIFZZ5E8_2022-02-22 14:39:51","False","","Anonymized","Anonymized",0
"176",175,"Anonymized","2022-02-22 16:22:30",37.4,69,15,69,"AYALGQ4PQD_2022-02-22 16:22:30","False","","Anonymized","Anonymized",0
"177",176,"Anonymized","2022-02-22 19:48:39",3.48,52,15,43,"AYAM6GVCVL_2022-02-22 19:48:39","False","","Anonymized","Anonymized",0
"178",177,"Anonymized","2022-02-22 04:34:48",2.58,42,15,52,"AYAMLNSGV9_2022-02-22 04:34:48","False","","Anonymized","Anonymized",0
"179",178,"Anonymized","2022-02-22 18:40:35",9.1,62,15,90,"AYAQQEQ7V6_2022-02-22 18:40:35","False","","Anonymized","Anonymized",0
