"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","worker_id","lonely_before_1","lonely_before_2","lonely_before_3","completion_code","lonely_after_1","lonely_after_2","lonely_after_3","heard_1_1","heard_2_1","heard_3_1","perf_1_1","perf_2_1","perf_3_1","perf_4_1","perf_5_1","comp_1","comp_2","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","participantId","condition"
"2024-05-16 11:51:12","2024-05-16 12:09:13","0",11,"100","1081","1","2024-05-16 12:09:14","R_37PfOgmCyLFKO7L","","","","",11,11,"anonymous","EN","1","2","2",7,"75","0","0","4445-2663-8565-6645","75","0","0","0","0","0","100","75","5","50","0","1","1","2","","1","","3","","40","1","","0","6B6F69C63B104A08B2358896C7C4CE2B","rudimentary"
"2024-05-16 11:50:58","2024-05-16 12:09:15","0",12,"100","1096","1","2024-05-16 12:09:15","R_2LGcVuC8yA4I3O6","","","","",12,12,"anonymous","EN","1","2","2",8,"100","100","100","8685-0215-4754-8592","100","100","100","50","100","100","90","100","100","68","66","1","1","1","I heard about it and just wanted to try it out to see what it was like","2","","3","","27","3","","90","C446144A87F64BC8877192F29C33ED1F","regular"
"2024-05-16 11:51:22","2024-05-16 12:09:19","0",13,"100","1077","1","2024-05-16 12:09:20","R_7v1Qu2jk9ZMkOrL","","","","",13,13,"anonymous","EN","1","2","2",9,"0","0","0","5173-5393-3522-3098","0","0","0","100","100","100","100","100","100","100","100","1","1","2","","2","","3","","30","5","","33","EAAC82049EAA45DB9B9EFF474FC84891","regular"
"2024-05-16 11:51:35","2024-05-16 12:09:24","0",14,"100","1068","1","2024-05-16 12:09:26","R_7vpA5U6IZKzt5Yt","","","","",14,14,"anonymous","EN","1","2","2",10,"0","0","0","2101-9230-9209-2504","0","0","0","20","29","68","22","24","33","36","22","3","1","1","ChatGPT gets used for work","2","","3","","36","5","","63","D4908E4C013D4789BA65FC8C994B022A","regular"
"2024-05-16 11:51:02","2024-05-16 12:09:33","0",15,"100","1111","1","2024-05-16 12:09:33","R_6PA6RBY9AP5PvCa","","","","",15,15,"anonymous","EN","1","2","2",11,"0","85","100","8784-8092-3414-4854","0","69","100","72","70","66","100","100","100","100","100","3","1","1","I just wanted to test out replikaAI a few years ago.  It was out of curiosity.","1","","3","","29","1","","100","015D95BA960E4D8387F933A0C7E87F69","regular"
"2024-05-16 11:52:18","2024-05-16 12:09:41","0",16,"100","1043","1","2024-05-16 12:09:42","R_2Gv780te2BBvevZ","","","","",16,16,"anonymous","EN","1","2","2",12,"0","0","0","4975-5977-8407-1424","0","0","0","0","0","0","100","100","100","30","50","1","1","1","to get information","1","","2","","42","4","","50","467535A5E255478A97460136960AE30C","generalist_ai_v3"
"2024-05-16 11:51:59","2024-05-16 12:09:45","0",17,"100","1066","1","2024-05-16 12:09:46","R_7amGpjtZKocYG0H","","","","",17,17,"anonymous","EN","1","2","2",13,"17","15","16","8823-5893-7800-2267","4","0","23","60","65","83","100","100","100","93","100","1","1","1","To help answer questions","1","","2","","28","4","","61","0964E4DB9F78429E8504CAF4BC55D489","generalist_ai_v3"
"2024-05-16 11:51:23","2024-05-16 12:10:02","0",18,"100","1118","1","2024-05-16 12:10:02","R_1IhJKGVZnWCSQ95","","","","",18,18,"anonymous","EN","1","2","2",14,"34","31","29","4757-2521-0037-6008","81","75","83","0","0","0","0","0","27","0","0","1","1","1","JUst trying it out. It is an interesting concept. ","1","","3","","33","4","","0","9D523E3DAAEB43D6BDD08B50AC195A56","rudimentary"
"2024-05-16 11:52:20","2024-05-16 12:10:02","0",19,"100","1061","1","2024-05-16 12:10:03","R_27wlgfPpCUrWc4D","","","","",19,19,"anonymous","EN","1","2","2",15,"10","10","20","8831-1583-7120-1074","10","10","10","10","80","70","80","80","80","80","80","1","1","2","","1","","5","","41","2","","50","00F5F0DF14DE460D9B9247CCAE200CBF","regular"
"2024-05-16 11:52:20","2024-05-16 12:10:04","0",20,"100","1064","1","2024-05-16 12:10:05","R_5XcH5aFa9JHvs7g","","","","",20,20,"anonymous","EN","1","2","2",16,"50","23","50","0841-5577-8881-9630","50","24","50","0","0","0","0","0","0","0","0","1","1","1","rewrite messages, organize prompts, email, etc","1","","2","","33","5","","20","0174509221D04AC686B6495AD776893F","regular"
"2024-05-16 11:51:10","2024-05-16 12:10:08","0",21,"100","1137","1","2024-05-16 12:10:08","R_3DP66i1IM6FsBjy","","","","",21,21,"anonymous","EN","1","2","2",17,"64","45","79","3244-2825-5605-7633","8","8","2","100","100","100","100","100","100","93","96","1","1","1","I signed up with ChatGPT, and chat was the first thing I did with it. It's actually the only thing I've done with it so far. It was easier than humans because I could end it at any point and no one would get hurt feelings.","2","","3","","49","3","","91","4A30F0CF881740AF919E69A84A1510C6","regular"
"2024-05-16 11:52:18","2024-05-16 12:10:09","0",22,"100","1070","1","2024-05-16 12:10:09","R_3fPeY9no2BHIL0h","","","","",22,22,"anonymous","EN","1","2","2",18,"36","50","60","5510-0021-5086-0145","21","25","35","59","79","81","100","100","100","100","100","1","1","2","","1","","3","","40","1","","100","534E6BD95EEE4F348EA4FDE5A235D2B7","regular"
"2024-05-16 11:53:28","2024-05-16 12:10:10","0",23,"100","1002","1","2024-05-16 12:10:11","R_2DyT9il3I87O6cx","","","","",23,23,"anonymous","EN","1","2","2",19,"0","0","15","3026-0699-9561-0432","0","0","0","0","21","58","100","100","100","100","100","1","1","2","","2","","2","","21","4","","81","4E2FDCC4E3D54CD7A0FE09FA8537D9BF","generalist_ai_v3"
"2024-05-16 11:51:44","2024-05-16 12:10:11","0",24,"100","1107","1","2024-05-16 12:10:12","R_7iEtsT9KCaD5T0t","","","","",24,24,"anonymous","EN","1","2","2",20,"33","16","0","7719-3601-9930-1730","9","3","0","7","11","16","92","75","66","33","36","3","1","1","To talk about my phone bill. ","2","","3","","38","7","","70","73D029AB2436482485B5BC738DD3B364","generalist_ai_v3"
"2024-05-16 11:52:27","2024-05-16 12:10:12","0",25,"100","1065","1","2024-05-16 12:10:13","R_2QSWv2yHr4dkQKh","","","","",25,25,"anonymous","EN","1","2","2",21,"90","60","90","3811-0660-3230-7346","80","60","85","60","100","80","100","75","90","50","25","1","1","2","","1","","3","","44","4","","95","6C7FD2798C89446BAC9B2C47EBF8911B","regular"
"2024-05-16 11:51:06","2024-05-16 12:10:27","0",26,"100","1161","1","2024-05-16 12:10:27","R_3ilpArfsSLDS1Mq","","","","",26,26,"anonymous","EN","1","2","2",22,"29","29","29","0854-3029-7762-3753","59","50","50","0","0","0","74","70","81","50","26","1","1","1","I used ChatGPT when I was sad.","2","","3","","30","4","","22","AF7404639EA04A159395FC72203B3983","generalist_ai_v3"
"2024-05-16 11:51:46","2024-05-16 12:10:27","0",27,"100","1121","1","2024-05-16 12:10:28","R_5OdY2hQJWdgXsqZ","","","","",27,27,"anonymous","EN","1","2","2",23,"8","9","8","8953-8021-6295-8462","1","3","4","0","0","0","82","81","92","48","0","1","1","1","Other studies, and chat GPT to try to find my color palette","2","","3","","35","3","","80","0D38C0E65B8D48988ED8A5D72A885B43","rudimentary"
"2024-05-16 11:52:15","2024-05-16 12:10:27","0",28,"100","1092","1","2024-05-16 12:10:28","R_8fS1Eo2YSJIYluF","","","","",28,28,"anonymous","EN","1","2","2",24,"75","75","89","1456-9059-7912-8507","65","68","66","8","0","5","62","62","54","27","8","1","1","1","I used it to get advice for social problems","2","","3","","25","5","","33","B8CE17E8C5DE47139278C78FCA603B8C","rudimentary"
"2024-05-16 12:06:15","2024-05-16 12:10:33","0",29,"100","258","1","2024-05-16 12:10:33","R_21gEGcp3nDPqLqt","","","","",29,29,"anonymous","EN","1","2","1",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","E37F9CB7A2D241588A408F3C42A682A1",""
"2024-05-16 11:52:01","2024-05-16 12:10:36","0",30,"100","1115","1","2024-05-16 12:10:36","R_55zlGuWufoA6TEt","","","","",30,30,"anonymous","EN","1","2","2",25,"12","3","31","4639-5425-6811-1891","23","34","42","40","75","82","70","80","78","23","92","1","1","2","","1","","3","","41","4","","65","D997659CCEF0498C9F97126543014BF9","regular"
"2024-05-16 11:51:03","2024-05-16 12:10:37","0",31,"100","1173","1","2024-05-16 12:10:37","R_8Fby1IgjhMtozSP","","","","",31,31,"anonymous","EN","1","2","2",26,"59","39","50","5028-5787-5695-5919","100","100","100","0","0","0","100","10","0","0","0","1","1","1","Help with business writing.","1","","3","","31","5","","50","C83A1F4E72F24B379287B051B7183579","generalist_ai_v3"
"2024-05-16 11:51:22","2024-05-16 12:10:45","0",32,"100","1162","1","2024-05-16 12:10:46","R_7qwymztm8Qt6E2B","","","","",32,32,"anonymous","EN","1","2","2",27,"100","72","86","2305-3106-2056-8136","8","20","11","0","0","0","24","42","57","56","17","1","1","1","ChatGPT","2","","3","","37","4","","78","06C4F8E9051140B5A6D96E78AE479637","generalist_ai_v3"
"2024-05-16 11:52:22","2024-05-16 12:10:56","0",33,"100","1114","1","2024-05-16 12:10:56","R_8NLgp4yYETT79Bf","","","","",33,33,"anonymous","EN","1","2","2",28,"10","5","0","1736-7024-4670-2664","10","6","0","0","0","0","83","76","0","18","0","1","1","2","","2","","3","","33","5","","30","CB682DF4AEBF41F0917006A4AB7F90E6","rudimentary"
"2024-05-16 11:52:29","2024-05-16 12:10:57","0",34,"100","1108","1","2024-05-16 12:10:58","R_30abeeL964ohm6Z","","","","",34,34,"anonymous","EN","1","2","2",29,"0","0","0","6073-0017-9283-3155","0","0","0","60","80","90","98","100","100","100","95","1","1","1","I use it at work and also at home to help with simple requests.","1","","3","","54","4","","100","327507887C354A62AB1DF9241092467A","generalist_ai_v3"
"2024-05-16 11:52:09","2024-05-16 12:10:57","0",35,"100","1127","1","2024-05-16 12:10:58","R_2ZkR2xKKH2UIkmZ","","","","",35,35,"anonymous","EN","1","2","2",30,"5","3","4","0968-8792-7289-8884","1","2","2","5","4","29","100","94","77","84","23","1","1","1","I use Alexa to do things for me. We sometimes chat and tell jokes. ","2","","3","","64","4","","56","686ADF6F10E14C95A4526AFC8BF39290","rudimentary"
"2024-05-16 11:52:40","2024-05-16 12:11:00","0",36,"100","1100","1","2024-05-16 12:11:01","R_3GOlQxHo3Ab8qE4","","","","",36,36,"anonymous","EN","1","2","2",31,"95","60","80","3449-2660-7936-9226","60","60","70","0","5","5","75","90","90","45","10","1","1","2","","1","","3","","34","1","","95","03E26E70A14E4F75BD97DB3C16BDABE5","generalist_ai_v3"
"2024-05-16 11:52:12","2024-05-16 12:11:09","0",37,"100","1136","1","2024-05-16 12:11:09","R_5jO2QkRKom6Ddn1","","","","",37,37,"anonymous","EN","1","2","2",32,"50","18","20","8484-0889-9883-3613","50","50","50","80","50","80","100","100","100","86","50","1","1","2","","2","","3","","33","3","","81","A8FC5F2843B04830926AA3936D92175E","regular"
"2024-05-16 11:52:19","2024-05-16 12:11:17","0",38,"100","1138","1","2024-05-16 12:11:18","R_3pa1FeWQSuSW9d0","","","","",38,38,"anonymous","EN","1","2","2",33,"33","41","41","1481-8758-4024-9410","3","75","0","99","90","97","97","94","92","94","95","1","1","2","","1","","1","","38","4","","88","B93DB7795F214CA187D856904574E443","generalist_ai_v3"
"2024-05-16 11:51:19","2024-05-16 12:11:21","0",39,"100","1201","1","2024-05-16 12:11:22","R_30NROR3wdhBnpbL","","","","",39,39,"anonymous","EN","1","2","2",34,"80","95","100","6143-5455-7141-9200","80","100","90","10","3","10","100","100","20","50","85","1","1","2","","2","","3","","21","3","","100","CC9E876ED84249A286B76B5DF1C5103A","generalist_ai_v3"
"2024-05-16 11:51:03","2024-05-16 12:11:24","0",40,"100","1221","1","2024-05-16 12:11:25","R_23g9gC3S1k2jx7s","","","","",40,40,"anonymous","EN","1","2","2",35,"90","70","70","9362-4145-3981-9081","90","70","70","10","0","0","60","60","60","20","20","1","1","1","This was to test out if AI could provide emotional support when I did not have a real person to talk to.","1","","3","","38","3","","65","5D191E9647F64B53984A84FE722793F2","rudimentary"
"2024-05-16 11:53:29","2024-05-16 12:11:25","0",41,"100","1076","1","2024-05-16 12:11:26","R_7DvUxwngh1CpTsC","","","","",41,41,"anonymous","EN","1","2","2",36,"0","0","0","2955-7093-3629-7758","0","0","0","100","100","100","100","100","100","100","100","1","1","2","","2","","3","","49","4","","100","7EBCF0058CEF4117818F5C1CD79D840F","regular"
"2024-05-16 11:53:22","2024-05-16 12:11:36","0",42,"100","1094","1","2024-05-16 12:11:37","R_23v5A21F9xMIZZs","","","","",42,42,"anonymous","EN","1","2","2",37,"10","18","3","7022-7147-6769-9460","10","5","5","92","96","97","100","100","97","88","81","1","1","1","Mental health","2","","3","","30","4","","88","CC4062F0E90843149E458B8531C55523","regular"
"2024-05-16 11:52:29","2024-05-16 12:11:37","0",43,"100","1148","1","2024-05-16 12:11:38","R_5tD1EMC0Ls8DdxP","","","","",43,43,"anonymous","EN","1","2","2",38,"86","86","88","5271-0015-4735-9721","86","85","86","10","6","12","89","73","65","75","43","1","1","2","","2","","3","","55","4","","61","1D2E274AB4DE4B9AA67BFEA9F45DE28C","generalist_ai_v3"
"2024-05-16 11:51:28","2024-05-16 12:11:44","0",44,"100","1215","1","2024-05-16 12:11:44","R_7ai4GlssDGPFGLf","","","","",44,44,"anonymous","EN","1","2","2",39,"0","0","0","4529-3609-5163-8599","0","0","0","50","50","65","97","94","97","84","52","1","1","2","","2","","3","","40","4","","5","A4CF186F80ED41E6973870DB4C597F32","generalist_ai_v3"
"2024-05-16 11:53:37","2024-05-16 12:11:46","0",45,"100","1089","1","2024-05-16 12:11:46","R_5ztG0w8yVkqrhMl","","","","",45,45,"anonymous","EN","1","2","2",40,"56","72","58","3948-3242-2796-7989","63","42","54","39","83","61","85","55","57","63","69","1","1","2","","2","","3","","41","5","","57","85483A6D4E4C48D1AD00E23C254A37EE","regular"
"2024-05-16 11:53:01","2024-05-16 12:11:56","0",46,"100","1134","1","2024-05-16 12:11:56","R_7Yojm1BOccdBbYh","","","","",46,46,"anonymous","EN","1","2","2",41,"100","78","93","4077-4597-9334-0689","100","83","95","28","19","6","84","42","75","60","63","1","1","2","","2","","1","","34","3","","82","C7DB6824B09A49128EB4E08B42EADE6C","rudimentary"
"2024-05-16 11:51:34","2024-05-16 12:11:56","0",47,"100","1221","1","2024-05-16 12:11:57","R_7rmBVO8MwjBmfBf","","","","",47,47,"anonymous","EN","1","2","2",42,"18","17","12","8827-3340-8743-3056","22","10","4","0","0","0","91","90","63","14","0","1","1","1","Curiosity, mainly. Also, my brother kept pestering me to try it because he thought it was cool.","2","","1","","45","4","","61","1CE0EA86674B4E48937C298493054777","rudimentary"
"2024-05-16 11:53:28","2024-05-16 12:11:58","0",48,"100","1109","1","2024-05-16 12:11:58","R_70N3IOjLaOEmXdy","","","","",48,48,"anonymous","EN","1","2","2",43,"10","10","10","0290-0998-2383-2052","0","0","0","90","90","90","90","90","90","90","50","1","1","2","","2","","4","","45","4","","0","95F7C59FBF094A7FBE82790C188F6784","regular"
"2024-05-16 11:51:52","2024-05-16 12:12:01","0",49,"100","1209","1","2024-05-16 12:12:01","R_2FKiQQMvozKxEzc","","","","",49,49,"anonymous","EN","1","2","2",44,"80","33","71","0011-1645-4774-9374","73","62","33","42","63","86","68","68","75","61","60","1","1","2","","1","","1","","19","4","","75","88A38E4A0D3347838CC52ADD61163E83","regular"
"2024-05-16 11:52:30","2024-05-16 12:12:04","0",50,"100","1173","1","2024-05-16 12:12:05","R_1gdWxYbsjS6ncU1","","","","",50,50,"anonymous","EN","1","2","2",45,"60","20","50","2125-1600-6222-2392","20","20","30","50","100","100","100","90","100","90","60","1","1","2","","2","","3","","45","6","","70","CF2F4ECB472D4A8FB3F2B87E2FD4EBED","regular"
"2024-05-16 11:53:34","2024-05-16 12:12:07","0",51,"100","1113","1","2024-05-16 12:12:08","R_2LQVnSEiFjKQ0ut","","","","",51,51,"anonymous","EN","1","2","2",46,"60","30","55","3552-2431-9906-6620","60","25","61","0","0","0","85","65","70","80","18","1","1","1","Just to try it out","1","","3","","33","3","","39","7A85DE0B5ED544F9965AE9D9CAA53C30","generalist_ai_v3"
"2024-05-16 11:53:22","2024-05-16 12:12:09","0",4,"100","1127","1","2024-05-16 12:12:09","R_2hxOpFSEavzq4sK","","","","",4,4,"anonymous","EN","1","2","2",47,"0","19","10","1589-6223-1085-2258","0","10","1","61","52","60","92","92","90","56","93","1","1","1","i used chatgpt just to try it out","1","","3","","32","3","","76","6A15D9D1E8C74B18B300C65B3D64CFD7","regular"
"2024-05-16 11:53:43","2024-05-16 12:12:11","0",52,"100","1107","1","2024-05-16 12:12:12","R_5DMGv9Wx2aE16ow","","","","",52,52,"anonymous","EN","1","2","2",48,"30","0","10","7603-4848-5357-3995","85","3","100","0","0","0","11","0","8","0","0","1","1","2","","1","","3","","33","4","","0","33E7DB64BC584412AB6DDF27AEB0D41E","generalist_ai_v3"
"2024-05-16 11:51:33","2024-05-16 12:12:11","0",53,"100","1238","1","2024-05-16 12:12:12","R_25ZMSjdsk5ngHIM","","","","",53,53,"anonymous","EN","1","2","2",49,"29","50","31","2608-1238-6612-3390","23","37","27","0","0","0","94","82","18","67","20","1","1","1","General knowledge, facts, cover letters, story brainstorming, lists, image generation, etc.","2","","3","","55","2","","80","CACDC745E32A4BF7B042331A3D00C169","rudimentary"
"2024-05-16 11:54:31","2024-05-16 12:12:12","0",54,"100","1060","1","2024-05-16 12:12:13","R_3FMLQQRLi1IZjix","","","","",54,54,"anonymous","EN","1","2","2",50,"19","10","11","3486-7950-7241-6179","9","9","8","80","91","91","100","91","90","71","81","1","1","2","","2","","3","","23","5","","100","2D2B6D832EA2437BBE5B3953085EDFE4","regular"
"2024-05-16 11:53:20","2024-05-16 12:12:18","0",55,"100","1137","1","2024-05-16 12:12:18","R_2rvp9kXvz2MRALU","","","","",55,55,"anonymous","EN","1","2","2",51,"81","94","85","0467-1373-8938-0240","0","0","0","0","19","0","100","100","100","82","100","2","1","2","","2","","3","","25","4","","97","C86235A87B3D463994BAD27C6259B250","generalist_ai_v3"
"2024-05-16 11:52:58","2024-05-16 12:12:19","0",56,"100","1161","1","2024-05-16 12:12:20","R_3EXy1kctIuor9Sj","","","","",56,56,"anonymous","EN","1","2","2",52,"40","40","40","4745-8522-9048-3689","40","40","40","50","50","61","100","100","90","100","50","3","1","2","","2","","3","","64","3","","100","3C378F2716C04C0EB4FD62856B8C2152","generalist_ai_v3"
"2024-05-16 11:52:19","2024-05-16 12:12:23","0",57,"100","1204","1","2024-05-16 12:12:24","R_1YfgDhcPQzZu5S7","","","","",57,57,"anonymous","EN","1","2","2",53,"61","37","32","4650-9405-3388-8419","61","33","33","2","3","3","94","70","81","40","55","1","1","1","I've used them for both surveys like this one and for work in the past, such as ChatGPT.","1","","3","","38","4","","90","51E379DB063F4D47B040670838E71D0D","generalist_ai_v3"
"2024-05-16 11:52:42","2024-05-16 12:12:28","0",58,"100","1185","1","2024-05-16 12:12:28","R_7tA7Z50t1U0AXsd","","","","",58,58,"anonymous","EN","1","2","2",54,"81","71","50","6915-6839-7300-3655","50","68","50","55","62","54","66","49","72","27","65","3","1","1","to generate innovative ideas.","2","","1","","48","4","","50","5A37BA3464154D6683BD92DEA3301BFF","rudimentary"
"2024-05-16 11:54:33","2024-05-16 12:12:32","0",59,"100","1078","1","2024-05-16 12:12:33","R_3QDYg3JTDT3Almn","","","","",59,59,"anonymous","EN","1","2","2",55,"8","9","11","7175-1665-8633-3867","9","9","9","64","83","73","92","70","68","70","61","1","1","1","Just to see how it worked","1","","3","","42","3","","30","DA53AA5CFB054B8F8ED5B3AE6377D81E","regular"
"2024-05-16 11:51:46","2024-05-16 12:12:34","0",60,"100","1247","1","2024-05-16 12:12:34","R_7LbXUHKR7sBTk8z","","","","",60,60,"anonymous","EN","1","2","2",56,"70","50","35","5078-6594-7856-5918","25","10","0","33","54","92","62","92","89","59","65","1","1","2","","2","","1","","28","4","","85","A58E769C08834874A1241F74C884799F","regular"
"2024-05-16 11:53:49","2024-05-16 12:12:37","0",61,"100","1128","1","2024-05-16 12:12:37","R_5kGos4CuNjVyiMV","","","","",61,61,"anonymous","EN","1","2","2",57,"71","71","72","7405-9863-8686-1888","40","40","39","78","77","84","85","84","82","83","83","1","1","2","","1","","3","","32","1","","92","0BF93AFE2163417D97A40C36DB20DE03","regular"
