ParticipantId,StartTime (Europe/Istanbul),CompletionTime (Europe/Istanbul),CompletionType,CompletionCode,Payment,Bonus,Fees,Status,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status
E7C92332CD4B4053974815BCE8C815CF,04/15/2024 08:05:57 AM,04/15/2024 08:06:42 AM,Redirect,,0.3,15,0.00,Approved,35,"Some college, but no degree",Female,Other,Single,Prefer not to say,Woman,United States,"$40,000-$49,999",Black or African American,Full-time
C2C8A74EC7434A6F964C947422FF849A,04/15/2024 08:06:13 AM,04/15/2024 08:06:37 AM,Redirect,,0.3,15,0.00,Approved,29,Less than a high school diploma,Female,Other,Married,Democrat,Woman,United States,"Less than $10,000",White,"Not in paid work (e.g., homemaker, disabled)"
1FD76243C2D94C58ADD0958ECB3528B6,04/15/2024 08:07:02 AM,04/15/2024 08:27:26 AM,Redirect,,0.3,15.7,0.00,Approved,46,"Bachelor's degree (for example: BA, AB, BS)",Female,I’d Rather Not Say,Single,Democrat,Woman,United States,"Less than $10,000",White,Unemployed
EE90BCDC6ABA4AB090F9128F9F00E1CE,04/15/2024 08:07:15 AM,04/15/2024 08:08:07 AM,Redirect,,0.3,15,0.00,Approved,53,"Some college, but no degree",Male,Medicine,Married,Independent,Man,United States,"$100,000-$124,999",White,Business Owner
436D50B6F96D4D1DA1253145A7F78FE9,04/15/2024 08:07:42 AM,04/15/2024 08:08:03 AM,Redirect,,0.3,15,0.00,Approved,19,"Some college, but no degree",Male,Marketing and Sales,Single,Independent,Man,United States,"$175,000-$199,999",White,Student
DABD7F22A5884FE582A1BB0824A130AC,04/15/2024 08:09:09 AM,04/15/2024 08:33:20 AM,Redirect,,0.3,15.7,0.00,Approved,50,"Bachelor's degree (for example: BA, AB, BS)",Female,Arts,In a relationship,Independent,Woman,United States,"$30,000-$39,999",White,Full-time
385934DCE1CE4E96891EDE6F2046C123,04/15/2024 08:09:15 AM,04/15/2024 09:05:21 AM,Redirect,,0.3,15.7,0.00,Approved,36,"Some college, but no degree",Male,Manufacturing,In a relationship,Republican,Man,United States,"$60,000-$69,999",White,Full-time
036BF3ACCB0D49F19A56F0D1A9978A65,04/15/2024 08:09:19 AM,04/15/2024 08:09:59 AM,Redirect,,0.3,15,0.00,Approved,60,"Associate degree (for example: AA, AS)",Male,Other,Married,Independent,Man,United States,"$10,000-$19,999",An ethnicity not listed here,Full-time
ED0140E0071A4ACBA4A821244ED622E8,04/15/2024 08:10:08 AM,04/15/2024 08:10:41 AM,Redirect,,0.3,15,0.00,Approved,47,"Bachelor's degree (for example: BA, AB, BS)",Male,Architecture and Construction,Married,Democrat,Man,United States,"$125,000-$149,999",White,Full-time
5FA5C3EF9195444A832F0AE438613FE8,04/15/2024 08:10:37 AM,04/15/2024 08:11:33 AM,Redirect,,0.3,15,0.00,Approved,64,"Some college, but no degree",Female,Other,Divorced,Republican,Woman,United States,"$30,000-$39,999",White,Full-time
B8837FA27F2A469DB352A42C963C3223,04/15/2024 08:10:45 AM,04/15/2024 08:12:03 AM,Redirect,,0.3,15,0.00,Approved,27,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,Married,Republican,Man,United States,"$90,000-$99,999",Other,Full-time
5095C1240E404B5A8B36B2D2D7A80788,04/15/2024 08:11:27 AM,04/15/2024 08:12:23 AM,Redirect,,0.3,15,0.00,Approved,33,"Some college, but no degree",Male,Information Technology,Single,Democrat,Man,United States,"$30,000-$39,999",White,Student
E4A7FE6E601640888D3F00CADC82069C,04/15/2024 08:11:59 AM,04/15/2024 08:12:22 AM,Redirect,,0.3,15,0.00,Approved,29,"Bachelor's degree (for example: BA, AB, BS)",Female,Education & Training,Single,Democrat,Woman,United States,"$40,000-$49,999",White,Part-time
4820A87DD4D74D33AB5541D21D85BCC6,04/15/2024 08:12:25 AM,04/15/2024 08:30:29 AM,Redirect,,0.3,15.7,0.00,Approved,38,"Some college, but no degree",Female,Other,In a relationship,Democrat,Woman,United States,"Less than $10,000",White,"Not in paid work (e.g., homemaker, disabled)"
CB5A34FA5236466ABFAFD21116280BF0,04/15/2024 08:14:12 AM,04/15/2024 08:15:15 AM,Redirect,,0.3,15,0.00,Approved,33,"Some college, but no degree",Male,Other,Divorced,Independent,Man,United States,"Less than $10,000",White,Unemployed
95210C9E353E4E098A61A828466F0764,04/15/2024 08:14:26 AM,04/15/2024 08:34:58 AM,Redirect,,0.3,15.7,0.00,Approved,26,"Bachelor's degree (for example: BA, AB, BS)",Male,Architecture and Construction,In a relationship,Democrat,Man,United States,"$50,000-$59,999",Black or African American,Part-time
117A5014667E47B69A713CE9669094C2,04/15/2024 08:15:45 AM,04/15/2024 08:16:06 AM,Redirect,,0.3,15,0.00,Approved,23,"Some college, but no degree",Male,Manufacturing,Single,Republican,Man,United States,"$125,000-$149,999",White,Full-time
1029ECA6AC464C7AB9C32696E49DC835,04/15/2024 08:16:54 AM,04/15/2024 08:18:23 AM,Redirect,,0.3,15,0.00,Approved,61,"Bachelor's degree (for example: BA, AB, BS)",Female,Education & Training,Single,Democrat,Woman,United States,"$40,000-$49,999",White,Part-time
D27F21B87D454DB8A8C256E9A9749EF2,04/15/2024 08:16:55 AM,04/15/2024 08:35:42 AM,Redirect,,0.3,15.7,0.00,Approved,29,"Some college, but no degree",Female,Other,Single,Democrat,Woman,United States,"$10,000-$19,999",White,Unemployed
A2F1D5400A9244C59AC52FA1952E8673,04/15/2024 08:17:00 AM,04/15/2024 08:17:40 AM,Redirect,,0.3,15,0.00,Approved,37,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,Single,Independent,Man,United States,"$40,000-$49,999",Black or African American,Full-time
1C95312A7FCF44B2B659CF6C79179710,04/15/2024 08:18:43 AM,04/15/2024 08:40:43 AM,Redirect,,0.3,15.7,0.00,Approved,24,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Single,Independent,Man,United States,"Less than $10,000",An ethnicity not listed here,Unemployed
B401D3A4F7BE443FAC5AEA0AD572589F,04/15/2024 08:18:48 AM,04/15/2024 08:19:24 AM,Redirect,,0.3,15,0.00,Approved,42,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Male,Legal,Single,Democrat,Man,United States,"$90,000-$99,999",White,Full-time
2F3660111C5648EE934D115C34124599,04/15/2024 08:19:33 AM,04/15/2024 08:20:17 AM,Redirect,,0.3,15,0.00,Approved,76,"Bachelor's degree (for example: BA, AB, BS)",Female,Business Management & Administration,In a relationship,Democrat,Woman,United States,"$80,000-$89,999",Black or African American,Part-time
A744F31F29A541EEA0845377A40C3C94,04/15/2024 08:20:31 AM,04/15/2024 08:40:28 AM,Redirect,,0.3,15.7,0.00,Approved,39,"Bachelor's degree (for example: BA, AB, BS)",Male,Hospitality & Tourism,In a relationship,Democrat,Man,United States,"$30,000-$39,999",White,Full-time
4AEEA5D0705C4DEC94D5480118B7E2F2,04/15/2024 08:22:38 AM,04/15/2024 08:23:15 AM,Redirect,,0.3,15,0.00,Approved,40,Less than a high school diploma,Female,Other,Single,Democrat,Non-binary,United States,"$20,000-$29,999",American Indian or Alaska Native,"Not in paid work (e.g., homemaker, disabled)"
468748B4948840EAADF5FD358EA0CA46,04/15/2024 08:25:10 AM,04/15/2024 08:26:06 AM,Redirect,,0.3,15,0.00,Approved,22,"Some college, but no degree",Female,Other,Single,Something else,Woman,United States,"$40,000-$49,999",Black or African American,Student
E71BD9864D2F4A05B28E17E29EDCD0D3,04/15/2024 08:25:33 AM,04/15/2024 08:43:36 AM,Redirect,,0.3,15.7,0.00,Approved,42,"Some college, but no degree",Male,"Transportation, Distribution & Logistics",Single,Democrat,Man,United States,"$70,000-$79,999",White,Full-time
462B8FF25FC8490096558C2F8D983694,04/15/2024 08:25:39 AM,04/15/2024 08:26:28 AM,Redirect,,0.3,15,0.00,Approved,29,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,"Science, Technology, Engineering & Mathematics",In a relationship,Independent,Woman,United States,"$40,000-$49,999",White,Part-time
534B5AB2A3B94C5D9C1BF817BB7E602B,04/15/2024 08:26:05 AM,04/15/2024 08:44:52 AM,Redirect,,0.3,15.7,0.00,Approved,54,High school graduate - high school diploma or the equivalent (for example: GED),Female,Retired,Separated,Democrat,Woman,United States,"$100,000-$124,999",White,Retired
28C06D84EADE4596BD7C585E8466F72F,04/15/2024 08:26:43 AM,04/15/2024 08:45:51 AM,Redirect,,0.3,15.7,0.00,Approved,21,"Some college, but no degree",Male,Other,Single,Independent,Man,United States,"$100,000-$124,999",White,Part-time
FDB9DD9AACCE49AE91F4FC35298E2966,04/15/2024 08:27:36 AM,04/15/2024 08:49:02 AM,Redirect,,0.3,15.7,0.00,Approved,30,"Associate degree (for example: AA, AS)",Male,Medicine,Single,Prefer not to say,Man,United States,"$100,000-$124,999",White,Full-time
E6B28EBB913043C18933494E08FA055A,04/15/2024 08:27:42 AM,04/15/2024 08:51:11 AM,Redirect,,0.3,15,0.00,Approved,38,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,Married,Democrat,Man,United States,"$80,000-$89,999",Black or African American,Full-time
F68A17F24BF54D0F8311E22C17361B66,04/15/2024 08:31:44 AM,04/15/2024 08:50:40 AM,Redirect,,0.3,15.7,0.00,Approved,31,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,Single,Democrat,Man,United States,"Less than $10,000",An ethnicity not listed here,Unemployed
1AA7E803C47C4795B2175D3BB0B09A89,04/15/2024 08:31:48 AM,04/15/2024 08:32:44 AM,Redirect,,0.3,15,0.00,Approved,22,"Some college, but no degree",Male,Retail,In a relationship,Republican,Man,United States,"$175,000-$199,999",White,Student
758C5184A0E34222A34A4544D7732CD5,04/15/2024 08:33:17 AM,04/15/2024 08:54:46 AM,Redirect,,0.3,15.7,0.00,Approved,44,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Divorced,Democrat,Man,United States,"$60,000-$69,999",White,"Not in paid work (e.g., homemaker, disabled)"
5A606E625C384C9AB48B2DE67C6DEED5,04/15/2024 08:33:25 AM,04/15/2024 08:53:36 AM,Redirect,,0.3,15.7,0.00,Approved,36,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,Single,Independent,Woman,United States,"$50,000-$59,999",White,Part-time
9404FA0A816C42A8A1E9DD4FD0AD497C,04/15/2024 08:34:12 AM,04/15/2024 08:54:29 AM,Redirect,,0.3,15.7,0.00,Approved,42,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,In a relationship,Democrat,Man,United States,"$20,000-$29,999",White,Part-time
656F67B5EEDE46539D49EBF13D6CE184,04/15/2024 08:36:53 AM,04/15/2024 08:57:59 AM,Redirect,,0.3,15.7,0.00,Approved,32,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Married,Democrat,Man,United States,"$90,000-$99,999",White,Full-time
02A6EC521B2D4F5B9ACA47DB317D2DF6,04/15/2024 08:42:43 AM,04/15/2024 08:43:24 AM,Redirect,,0.3,15,0.00,Approved,43,High school graduate - high school diploma or the equivalent (for example: GED),Male,Finance,Single,Something else,Man,United States,"$50,000-$59,999",Chinese,Full-time
48BFA75FF0F649DDB95F36CEDEB68755,04/15/2024 08:42:58 AM,04/15/2024 09:01:03 AM,Redirect,,0.3,15.7,0.00,Approved,20,High school graduate - high school diploma or the equivalent (for example: GED),Male,I’d Rather Not Say,Single,Independent,Man,United States,"$10,000-$19,999",Black or African American,Unemployed
C20DA5B989DE46AFA8BD9CB8722E5ACC,04/15/2024 08:42:59 AM,04/15/2024 09:12:02 AM,Redirect,,0.3,15.7,0.00,Approved,41,"Some college, but no degree",Male,Information Technology,Single,Democrat,Man,United States,"$10,000-$19,999",White,Part-time
A8559E9391AE45C7BB6721C6064C9D17,04/15/2024 08:44:16 AM,04/15/2024 08:45:26 AM,Redirect,,0.3,15,0.00,Approved,34,"Bachelor's degree (for example: BA, AB, BS)",Female,I’d Rather Not Say,Single,Democrat,Woman,United States,"$30,000-$39,999",Chinese,Student
B941108E0DEC4FB992D345F210C6EADD,04/15/2024 08:48:39 AM,04/15/2024 08:49:26 AM,Redirect,,0.3,15,0.00,Approved,36,"Bachelor's degree (for example: BA, AB, BS)",Male,"Science, Technology, Engineering & Mathematics",Married,Independent,Man,United States,"$90,000-$99,999",White,Full-time
5580E9D05D684FD5BD0CE1D5CE127E9A,04/15/2024 08:50:26 AM,04/15/2024 09:24:43 AM,Redirect,,0.3,15.7,0.00,Approved,39,"Some college, but no degree",Female,Other,Divorced,Independent,Woman,United States,"$30,000-$39,999",White,Full-time
26963DE0661645E9A3B401F9028C6167,04/15/2024 08:52:26 AM,04/15/2024 08:57:42 AM,Redirect,,0.3,15,0.00,Approved,35,"Bachelor's degree (for example: BA, AB, BS)",Female,Arts,Single,Independent,Woman,United States,Prefer not to say,White,Business Owner
39A8866323644614BAB13A9CEDB3E402,04/15/2024 08:57:05 AM,04/15/2024 08:58:01 AM,Redirect,,0.3,15,0.00,Approved,39,"Bachelor's degree (for example: BA, AB, BS)",Male,Education & Training,Married,Democrat,Man,United States,"$50,000-$59,999",White,Full-time
1109158D661E49D0951694E0B44F55B0,04/15/2024 08:57:07 AM,04/15/2024 09:00:00 AM,Redirect,,0.3,15,0.00,Approved,36,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Business Management & Administration,Single,Democrat,Man,United States,"$60,000-$69,999",White,Full-time
6E0CC13CD6A346D2B942EDE19345C558,04/15/2024 08:57:16 AM,04/15/2024 09:07:05 AM,Redirect,,0.3,15,0.00,Approved,30,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,Single,Republican,Man,United States,"$50,000-$59,999",White,"Not in paid work (e.g., homemaker, disabled)"
4F1063188F12436C938D96CFE22D8287,04/15/2024 09:00:50 AM,04/15/2024 09:01:46 AM,Redirect,,0.3,15,0.00,Approved,35,"Some college, but no degree",Male,Retail,Single,Independent,Man,United States,"$50,000-$59,999",White,Part-time
98D94B38C6634E36BFF9FD4BCD40BB0B,04/15/2024 09:02:33 AM,04/15/2024 09:03:37 AM,Redirect,,0.3,15,0.00,Approved,31,High school graduate - high school diploma or the equivalent (for example: GED),Male,Retail,Married,Independent,Man,United States,"$40,000-$49,999",White,Business Owner
8DFA07C880FC4350BCAE8401C5098747,04/15/2024 09:03:17 AM,04/15/2024 09:21:08 AM,Redirect,,0.3,15.7,0.00,Approved,25,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Single,Independent,Man,United States,"$30,000-$39,999",Chinese,Unemployed
C085C78D29174F298653AC033D449C6F,04/15/2024 09:04:16 AM,04/15/2024 09:26:01 AM,Redirect,,0.3,15.7,0.00,Approved,26,"Some college, but no degree",Female,I’d Rather Not Say,In a relationship,Independent,Man,United States,"$40,000-$49,999",White,Unemployed
E15DEE654AC143188BA4B4D992D29588,04/15/2024 09:06:47 AM,04/15/2024 09:07:53 AM,Redirect,,0.3,15,0.00,Approved,42,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Married,Something else,Man,United States,"$125,000-$149,999",Black or African American,Full-time
653FED9912F84D3FA53DA4CDB7DC8E78,04/15/2024 09:08:36 AM,04/15/2024 09:13:04 AM,Redirect,,0.3,15,0.00,Approved,44,"Bachelor's degree (for example: BA, AB, BS)",Female,Hospitality & Tourism,Married,Democrat,Woman,United States,"$70,000-$79,999",White,Part-time
573A511F66284279B70754406ED46949,04/15/2024 09:09:28 AM,04/15/2024 09:31:11 AM,Redirect,,0.3,15.7,0.00,Approved,34,"Some college, but no degree",Male,Retail,Single,Democrat,Man,United States,"$40,000-$49,999",White,Full-time
A692729E73D24CA1921D9B6064D17C62,04/15/2024 09:09:41 AM,04/15/2024 09:10:32 AM,Redirect,,0.3,15,0.00,Approved,30,"Bachelor's degree (for example: BA, AB, BS)",Male,Manufacturing,Married,Democrat,Man,United States,"$50,000-$59,999",White,Full-time
0314E9F1674F490BAD79B4319F136C83,04/15/2024 09:10:26 AM,04/15/2024 09:11:50 AM,Redirect,,0.3,15,0.00,Approved,70,"Associate degree (for example: AA, AS)",Male,Information Technology,Divorced,Republican,Man,United States,"$50,000-$59,999",White,Part-time
4EFF0F01D3F94531835DF155CC8B22DD,04/15/2024 09:10:31 AM,04/15/2024 09:28:33 AM,Redirect,,0.3,15.7,0.00,Approved,64,"Some college, but no degree",Female,Other,Married,Independent,Woman,United States,Prefer not to say,White,Business Owner
2690CBD58A7340A1A04A6FAA2FBE82E1,04/15/2024 09:13:42 AM,04/15/2024 09:14:15 AM,Redirect,,0.3,15,0.00,Approved,35,"Some college, but no degree",Male,Hospitality & Tourism,Single,Democrat,Man,United States,"$40,000-$49,999",White,Full-time
57636A27B8A74CCCB53E6579A5492107,04/15/2024 09:18:37 AM,04/15/2024 09:19:43 AM,Redirect,,0.3,15,0.00,Approved,52,"Associate degree (for example: AA, AS)",Female,Information Technology,Married,Independent,Woman,United States,"$50,000-$59,999",White,Student
E45110DA93C5482DA92B44F3C81BDC76,04/15/2024 09:19:44 AM,04/15/2024 09:23:09 AM,Redirect,,0.3,15,0.00,Approved,25,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,Single,Independent,Man,United States,"Less than $10,000",White,Part-time
DBC03D397909420C836B9B6AE946B226,04/15/2024 09:23:42 AM,04/15/2024 09:25:04 AM,Redirect,,0.3,15,0.00,Approved,38,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Medicine,Married,Republican,Woman,United States,"$100,000-$124,999",Black or African American,Business Owner
F8DF3CAD316D4F439A7843444353D542,04/15/2024 09:31:20 AM,04/15/2024 09:32:21 AM,Redirect,,0.3,15,0.00,Approved,54,"Some college, but no degree",Male,"Transportation, Distribution & Logistics",Single,Republican,Man,United States,"$40,000-$49,999",White,Full-time
233D008BF80C4BC9AC7846E25FE78465,04/15/2024 09:33:20 AM,04/15/2024 09:33:59 AM,Redirect,,0.3,15,0.00,Approved,40,"Some college, but no degree",Female,Manufacturing,Married,Something else,Non-binary,United States,"$30,000-$39,999",White,Part-time
8AE9EE0403CB422FB565A71A0FE7650C,04/15/2024 09:33:36 AM,04/15/2024 09:34:24 AM,Redirect,,0.3,15,0.00,Approved,34,"Bachelor's degree (for example: BA, AB, BS)",Male,"Science, Technology, Engineering & Mathematics",Single,Republican,Man,United States,"$60,000-$69,999",White,Full-time
215D94E5FCB44128A5E12412D9738710,04/15/2024 09:38:47 AM,04/15/2024 09:58:48 AM,Redirect,,0.3,15.7,0.00,Approved,52,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Married,Democrat,Man,United States,"$200,000-$224,999",White,Full-time
8B045A74597B47FCB5FFAE595C7422DB,04/15/2024 09:40:17 AM,04/15/2024 09:40:48 AM,Redirect,,0.3,15,0.00,Approved,72,"Bachelor's degree (for example: BA, AB, BS)",Female,Education & Training,Divorced,Democrat,Woman,United States,"$40,000-$49,999",White,Part-time
C66DB4EC171D45879828EA04A8C1852A,04/15/2024 09:48:08 AM,04/15/2024 09:48:54 AM,Redirect,,0.3,15,0.00,Approved,48,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Female,Legal,Single,Republican,Woman,United States,Prefer not to say,White,Unemployed
210D1EED4E4C46D3AA7FCED923C8915C,04/15/2024 09:56:06 AM,04/15/2024 10:17:19 AM,Redirect,,0.3,15.7,0.00,Approved,51,"Associate degree (for example: AA, AS)",Female,Other,Separated,Independent,Woman,United States,"$60,000-$69,999",White,Part-time
9D61B93EFD28439182FFA5EE104C425B,04/15/2024 09:56:09 AM,04/15/2024 09:56:53 AM,Redirect,,0.3,15,0.00,Approved,49,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Single,Republican,Woman,United States,"$30,000-$39,999",Black or African American,Full-time
95B0EA0BAE8C48B49846E68DA092C38A,04/15/2024 09:57:57 AM,04/15/2024 10:16:13 AM,Redirect,,0.3,15.7,0.00,Approved,23,High school graduate - high school diploma or the equivalent (for example: GED),Female,Other,In a relationship,Republican,Woman,United States,"Less than $10,000",White,Unemployed
D4BF9138AA144A2EBFDC00D049A46CAF,04/15/2024 10:00:05 AM,04/15/2024 10:29:03 AM,Redirect,,0.3,15.7,0.00,Approved,44,"Bachelor's degree (for example: BA, AB, BS)",Male,Arts,Single,Prefer not to say,Man,United States,"$30,000-$39,999",White,Prefer not to say
76B0C2F3E59A4260A60FB3B507F1D716,04/15/2024 10:00:07 AM,04/15/2024 10:18:30 AM,Redirect,,0.3,15.7,0.00,Approved,45,"Bachelor's degree (for example: BA, AB, BS)",Male,I’d Rather Not Say,Single,Independent,Man,United States,"$10,000-$19,999",White,Unemployed
A2243BDA2F7746DAA622C12DC04CF070,04/15/2024 10:00:28 AM,04/15/2024 10:01:08 AM,Redirect,,0.3,15,0.00,Approved,44,"Bachelor's degree (for example: BA, AB, BS)",Female,Medicine,In a relationship,Republican,Woman,United States,"$125,000-$149,999",Korean,Full-time
7AA5D7F9AF35472E837F786C28F0AE01,04/15/2024 10:00:31 AM,04/15/2024 10:22:37 AM,Redirect,,0.3,15.7,0.00,Approved,40,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Single,Republican,Man,United States,"Less than $10,000",White,Full-time
9EAE16E6706F44A3AB5DD6AEF3F657B0,04/15/2024 10:01:20 AM,04/15/2024 10:20:24 AM,Redirect,,0.3,15.7,0.00,Approved,20,"Some college, but no degree",Female,Other,Single,Democrat,Woman,United States,"$175,000-$199,999",Other,Student
F0B31CDD82B64726B0018106CB279057,04/15/2024 10:02:09 AM,04/15/2024 10:02:31 AM,Redirect,,0.3,15,0.00,Approved,32,"Associate degree (for example: AA, AS)",Male,Information Technology,Single,Democrat,Man,United States,"$30,000-$39,999",White,Full-time
ED27395D9D0744BEA057B682AC9F621D,04/15/2024 10:03:57 AM,04/15/2024 10:04:27 AM,Redirect,,0.3,15,0.00,Approved,19,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,Single,Something else,Man,United States,"$70,000-$79,999",Vietnamese,Student
6B47E2EA342F4CE99F0CCCDEB4ADD654,04/15/2024 10:06:14 AM,04/15/2024 10:25:20 AM,Redirect,,0.3,15.7,0.00,Approved,52,"Some college, but no degree",Male,Information Technology,Single,Democrat,Man,United States,"$150,0000-$174,999",White,Unemployed
704A166028BA4C3EAAB0715FE2D230FD,04/15/2024 10:06:43 AM,04/15/2024 10:07:21 AM,Redirect,,0.3,15,0.00,Approved,34,"Bachelor's degree (for example: BA, AB, BS)",Female,I’d Rather Not Say,Single,Democrat,Woman,United States,"$100,000-$124,999",Chinese,Unemployed
