"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","worker_id","completion_code","journaling_timer_First.Click","journaling_timer_Last.Click","journaling_timer_Page.Submit","journaling_timer_Click.Count","self_disclosure_1","self_disclosure_2","journaling_manip","journ_manip_explain","ai_companion_exp","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","participantId","condition","conditionPrompt","conditionPromptPost","experiencePrompt","feelingHeardPrompt","conditionApp"
"2024-12-21 05:49:58","2024-12-21 06:10:58","0","Anonymized","100","1260","1","2024-12-21 06:10:58","R_1GlCutZ2MuYh2ZQ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","0576DC28BC014878953C6292A5BBECB6","1299-8927-4644-8467","","","","","83","10","","","1","2","","1","","50","1","","96","0576DC28BC014878953C6292A5BBECB6","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 05:47:45","2024-12-21 06:13:28","0","Anonymized","100","1542","1","2024-12-21 06:13:28","R_3gVGxl3frzUEMjn","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","E3362F5C831A48E4A452790FFFD7B49A","0182-6448-5755-1887","","","","","54","54","","","1","1","","3","","53","5","","47","E3362F5C831A48E4A452790FFFD7B49A","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 05:58:05","2024-12-21 06:14:09","0","Anonymized","100","964","1","2024-12-21 06:14:09","R_5dpH0PigM0OcLcJ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","47A44B2C3DA24758BEE8A259A7D5B971","","4.812","884.419","906.456","11","92","70","1","Yes, I journaled for 15 minutes and wrote 3 paragraphs.","1","1","","3","","39","4","","100","47A44B2C3DA24758BEE8A259A7D5B971","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 05:59:03","2024-12-21 06:16:42","0","Anonymized","100","1059","1","2024-12-21 06:16:43","R_7m2W2Al5KZXEwqf","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","9DE97DFDC48E4C4CBF35E2B66B76A8EE","0294-5309-7322-0181","","","","","100","80","","","1","2","","3","","54","2","","20","9DE97DFDC48E4C4CBF35E2B66B76A8EE","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 05:56:26","2024-12-21 06:18:50","0","Anonymized","100","1343","1","2024-12-21 06:18:51","R_6oGO6Yk1EdQq9Or","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","0208C5606A07456C9385EF2096200189","","30.61","938.254","940.922","7","92","43","1","I found it interesting to have two things that occupied my thoughts. Although part of the time my pet was on my lap looking for attention. That made it a little hard to type but I managed to finish.","1","2","","1","","59","4","","50","0208C5606A07456C9385EF2096200189","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 05:49:21","2024-12-21 06:25:32","0","Anonymized","100","2171","1","2024-12-21 06:25:33","R_5cbUo8zBZLIIXn6","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","DE1D42619E1848DAB7A38557CE1C739B","7231-3817-6604-7993","","","","","90","95","","","2","2","","3","","51","1","","55","DE1D42619E1848DAB7A38557CE1C739B","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 06:26:27","2024-12-21 06:26:55","0","Anonymized","100","28","1","2024-12-21 06:26:56","R_7kLnEyJx61S8Z5m","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","B29594BCE3EA407AA629F012541C3EED","","","","","",""
"2024-12-21 06:18:30","2024-12-21 06:37:23","0","Anonymized","100","1133","1","2024-12-21 06:37:23","R_5Do1nBfEiS82d5y","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","ADB9DEF8C08943BA95DA4DF5BFCD6983","","50.971","51.712","990.894","2","90","80","1","I wrote my thoughts down for 15 minutes and thus followed the instructions.","1","1","","3","","36","5","","20","ADB9DEF8C08943BA95DA4DF5BFCD6983","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 06:27:02","2024-12-21 06:43:52","0","Anonymized","100","1010","1","2024-12-21 06:43:53","R_1Eb8dcr9b7jjA22","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","B29594BCE3EA407AA629F012541C3EED","","15.661","25.036","918.502","3","76","55","1","I just wrote what I was thinking while typing. It honestly wasn't that hard.","1","2","","3","","47","3","","100","B29594BCE3EA407AA629F012541C3EED","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 06:35:57","2024-12-21 06:54:20","0","Anonymized","100","1103","1","2024-12-21 06:54:20","R_6QLzmVcRVRayZTF","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","41FC391210C44A63B4AE3BC5FA4A0218","5262-8244-4423-8458","","","","","67","60","","","2","2","","3","","41","4","","60","41FC391210C44A63B4AE3BC5FA4A0218","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 06:14:51","2024-12-21 06:56:00","0","Anonymized","100","2468","1","2024-12-21 06:56:00","R_7TH1XU60vOSksRb","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","7DE85B8094D84631B628A218905A0121","8964-9843-7493-7168","","","","","50","30","","","1","2","","3","","41","3","","85","7DE85B8094D84631B628A218905A0121","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 06:44:32","2024-12-21 07:06:07","0","Anonymized","100","1295","1","2024-12-21 07:06:07","R_3CeuqZ6DJS3RYNX","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","E31612DC254A4C4B96E221E9267AE860","4509-4574-6821-4690","","","","","67","68","","","2","2","","3","","52","4","","76","E31612DC254A4C4B96E221E9267AE860","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 06:43:06","2024-12-21 07:10:41","0","Anonymized","100","1654","1","2024-12-21 07:10:42","R_71tZchmS6azlf2H","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","08341A4AFE994CC7BEACA635E184C9F8","","155.053","652.13","923.464","14","100","95","1","I enjoy writing a self-reflection when asked because i can grow from my own experiences. ","1","2","","6","Caucasian","30","1","","82","08341A4AFE994CC7BEACA635E184C9F8","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 06:54:34","2024-12-21 07:13:56","0","Anonymized","100","1161","1","2024-12-21 07:13:56","R_3PsPM7NyGCzGPKY","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","91EC458F68FA47F1B6C64A0D567697BB","4691-4401-0631-6303","","","","","90","0","","","1","1","","3","","55","4","","100","91EC458F68FA47F1B6C64A0D567697BB","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 06:59:43","2024-12-21 07:17:02","0","Anonymized","100","1038","1","2024-12-21 07:17:02","R_5NXCkXKSSEjpiP7","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","4364D011A8F84919A5C6B347E62EB848","6339-2011-3221-7968","","","","","80","65","","","1","1","","2","","41","3","","70","4364D011A8F84919A5C6B347E62EB848","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 07:01:09","2024-12-21 07:18:23","0","Anonymized","100","1034","1","2024-12-21 07:18:24","R_5TA8jOcS7w4NOZW","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","F04AEE70B4024D7BB921988FBA7F21A2","","16.149","865.589","906.246","23","100","88","1","I was able to focus and journal for the entire 15 min. It went by faster than I expected. ","2","2","","3","","27","2","","100","F04AEE70B4024D7BB921988FBA7F21A2","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 07:06:59","2024-12-21 07:24:08","0","Anonymized","100","1028","1","2024-12-21 07:24:08","R_1CgVr7zeW3pNXqN","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","12F27CA2AFC84CCCB409C079D19B9624","","1.131","890.723","910.318","162","100","80","1","I journaled for 15 minutes. ","2","4","nonbinary","3","","33","5","","70","12F27CA2AFC84CCCB409C079D19B9624","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 07:24:47","2024-12-21 07:25:48","0","Anonymized","100","61","1","2024-12-21 07:25:49","R_7j68XL5jlDpHLuU","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","","","8DE8F7304EB547E38243B045017EBE74","","","","","",""
"2024-12-21 07:08:28","2024-12-21 07:26:27","0","Anonymized","100","1078","1","2024-12-21 07:26:27","R_5m2fLP3StVULjoJ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","F7D40967AFF441E08EE288EBFBFBB8E6","0755-7696-8137-2702","","","","","90","60","","","1","1","","2","","34","4","","95","F7D40967AFF441E08EE288EBFBFBB8E6","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 07:20:16","2024-12-21 07:37:57","0","Anonymized","100","1061","1","2024-12-21 07:37:58","R_5L1hfAB3XArcvSs","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","E957DAF4AC94421F8D4019F3EC395D40","4975-0500-2051-0442","","","","","93","50","","","2","1","","3","","32","4","","100","E957DAF4AC94421F8D4019F3EC395D40","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 07:29:16","2024-12-21 07:46:05","0","Anonymized","100","1008","1","2024-12-21 07:46:05","R_1H7d5sOXE7XR6c3","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","2E0731A619E5492A903792CA37B6B8D2","","22.086","462.86","930.513","12","90","50","1","I started typing for 15 mins about the main thing in my life right now.","2","1","","5","","32","3","","80","2E0731A619E5492A903792CA37B6B8D2","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 07:26:21","2024-12-21 07:46:12","0","Anonymized","100","1190","1","2024-12-21 07:46:12","R_6A3wvAMdawkOQkV","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","8DE8F7304EB547E38243B045017EBE74","9330-6382-7904-3399","","","","","61","21","","","1","1","","1","","51","3","","71","8DE8F7304EB547E38243B045017EBE74","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 07:29:29","2024-12-21 07:49:50","0","Anonymized","100","1220","1","2024-12-21 07:49:51","R_3ahSAmRBNFSJmg4","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","B904214ED3A943C9809974E0A7D08B86","7175-2474-0769-5671","","","","","73","84","","","1","2","","2","","30","4","","73","B904214ED3A943C9809974E0A7D08B86","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 07:27:24","2024-12-21 07:51:30","0","Anonymized","100","1445","1","2024-12-21 07:51:30","R_7jqCCRXwnEsUNCJ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","2A11C763B2AA4F44A119087F67F0517B","3818-7790-7353-5851","","","","","100","100","","","2","2","","1","","44","1","","90","2A11C763B2AA4F44A119087F67F0517B","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 07:41:24","2024-12-21 07:58:36","0","Anonymized","100","1031","1","2024-12-21 07:58:36","R_5V7u6rpzsxPvlUm","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","3975658E32674F60A37B22D088EAAE79","","11.237","901.001","912.59","106","100","68","1","I journaled about my feelings and experiences for 15 minutes.","2","2","","3","","30","4","","0","3975658E32674F60A37B22D088EAAE79","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 07:38:37","2024-12-21 07:59:28","0","Anonymized","100","1250","1","2024-12-21 07:59:28","R_1vUXArYWh49f1Id","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","9FBA6C541BE3462BAE479C5638CB9F29","9573-2600-7546-5870","","","","","60","30","","","1","1","","3","","22","2","","55","9FBA6C541BE3462BAE479C5638CB9F29","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 07:43:25","2024-12-21 08:00:59","0","Anonymized","100","1053","1","2024-12-21 08:01:00","R_1foDTG3xqQTXHG5","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","BCE9158D8EC84D9CA74C7C0943809625","","27.67","529.287","903.459","7","100","100","1","I wrote about my thoughts for fifteen minutes.","1","2","","3","","46","4","","93","BCE9158D8EC84D9CA74C7C0943809625","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 07:44:29","2024-12-21 08:01:20","0","Anonymized","100","1010","1","2024-12-21 08:01:20","R_51iAu9qqwV63JkF","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","EBAFB8F0F5F04F348544AC7A384BAEF1","2141-6872-6200-1385","","","","","70","51","","","1","2","","5","","36","4","","40","EBAFB8F0F5F04F348544AC7A384BAEF1","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 07:49:26","2024-12-21 08:08:04","0","Anonymized","100","1117","1","2024-12-21 08:08:04","R_29eIaU5wmt48OEV","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","613B580C07A84D71B6651F80429494CB","9213-8271-3252-5083","","","","","76","91","","","1","1","","3","","65","4","","70","613B580C07A84D71B6651F80429494CB","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 07:54:46","2024-12-21 08:12:55","0","Anonymized","100","1089","1","2024-12-21 08:12:56","R_5FrXB5Q5eL4jniH","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","8FC2F8F95FA24B3FA72146ED1F15FD51","","22.751","918.842","926.829","8","90","60","1","I journaled for the entire 15 minutes.  There were a couple of instances where I stopped writing to think, but for the most part I typed consistently and constantly during the 15 minutes. ","2","2","","1","","60","4","","70","8FC2F8F95FA24B3FA72146ED1F15FD51","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 08:01:07","2024-12-21 08:18:34","0","Anonymized","100","1047","1","2024-12-21 08:18:35","R_15EMlQZzcqNkOBc","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","59BE83820CEF4E409BDC5B316AD63E3D","","18.546","19.464","921.772","2","100","100","2","i had to use the bathroom for like 4 minutes","1","2","","1","","20","2","","87","59BE83820CEF4E409BDC5B316AD63E3D","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 07:59:36","2024-12-21 08:19:38","0","Anonymized","100","1202","1","2024-12-21 08:19:39","R_3SlibgyZq5BsLSs","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","B54EBF8141444C9BA8B2925837D1E0E5","0358-9300-0757-9648","","","","","90","0","","","1","2","","3","","38","3","","70","B54EBF8141444C9BA8B2925837D1E0E5","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 08:00:49","2024-12-21 08:19:40","0","Anonymized","100","1130","1","2024-12-21 08:19:40","R_7ToQmBj6l6HNCef","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","A00D9101C02A4BAD96227AEEBD167246","7664-6123-2030-0760","","","","","65","20","","","2","1","","3","","31","4","","100","A00D9101C02A4BAD96227AEEBD167246","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 08:02:28","2024-12-21 08:19:47","0","Anonymized","100","1039","1","2024-12-21 08:19:48","R_1hGU7Ygmok0E9P6","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","790E1D42B4FD4660A11CCAEB1BDB235E","","1.094","891.178","902.942","25","66","51","1","i journaled","2","2","","3","","42","4","","68","790E1D42B4FD4660A11CCAEB1BDB235E","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 07:59:21","2024-12-21 08:20:04","0","Anonymized","100","1242","1","2024-12-21 08:20:05","R_1OprnhY6ryXO8JK","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","900571D1C18346059C7FDE643888BD42","","17.017","493.652","1049.905","4","81","78","2","I journaled on and off, but i find it difficult to write for so long without stopping","2","1","","5","","33","3","","100","900571D1C18346059C7FDE643888BD42","journaling","be journaling for 15 minutes about anything on your mind or anything you've experienced lately","journaling for 15 minutes","of journaling for 15 minutes","Writing in the journal",""
"2024-12-21 08:01:39","2024-12-21 08:21:34","0","Anonymized","100","1194","1","2024-12-21 08:21:34","R_6spKgK4pZuMlM4f","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","C92982DE5FB04198A72A18AF6B03E2C6","1254-0918-4827-0192","","","","","56","43","","","1","2","","3","","47","4","","82","C92982DE5FB04198A72A18AF6B03E2C6","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
"2024-12-21 08:04:30","2024-12-21 08:22:31","0","Anonymized","100","1080","1","2024-12-21 08:22:31","R_5pStJTLOeqCj78b","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","611373852756474FAD0809EF7B1D46B2","1145-9460-6246-9967","","","","","82","0","","","1","1","","1","","38","5","","100","611373852756474FAD0809EF7B1D46B2","AI chatbot","interact with an AI chatbot for 15 minutes","interacting with an AI chatbot for 15 minutes","with the AI chatbot you used?","Interacting with the chatbot","AI Companion"
